,equity
2025-04-08,15801119.35228929
2025-04-09,17113194.501312103
2025-04-10,16484902.069605246
2025-04-11,17278753.609169386
2025-04-12,17669587.238106363
2025-04-13,17350226.43979148
2025-04-14,17525288.458504405
2025-04-15,17331007.18593493
2025-04-16,17412076.17446642
2025-04-17,17601475.445732817
2025-04-18,17501294.955495786
2025-04-19,17625951.76126419
2025-04-20,17647833.736544527
2025-04-21,18134465.24419222
2025-04-22,18062646.14676139
2025-04-23,18205292.573936783
2025-04-24,18056147.38368243
2025-04-25,18009230.13294587
2025-04-26,17739971.522738475
2025-04-27,18470300.119745374
2025-04-28,18002896.532904506
2025-04-29,18205848.986368433
2025-04-30,17865851.11284758
2025-05-01,18100806.666416667
2025-05-02,17944991.694020446
2025-05-03,18188847.64111899
2025-05-04,18011205.668992586
2025-05-05,18097564.042307835
2025-05-06,18875569.076594267
2025-05-07,18369442.904569462
2025-05-08,18299025.490565483
2025-05-09,22062434.508432772
2025-05-10,21652402.360966187
2025-05-11,22638151.749790836
2025-05-12,22046234.43188172
2025-05-13,21802350.64346686
2025-05-14,22449132.682175882
2025-05-15,21532580.84130642
2025-05-16,21094884.876807828
2025-05-17,20844901.49518642
2025-05-18,20883354.207298186
2025-05-19,21354219.615660526
2025-05-20,21657591.504461452
2025-05-21,22140257.64710021
