base_id,family,kind,frequency,regime_mode,top_n,score_family,concentrated,overlay_id,target_volatility,vol_window,trend_window,asset_trend_window,risk_on_kind,risk_on_window,candidate_id,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,annualized_turnover,avg_turnover_per_rebalance,average_holdings,avg_gross_exposure,max_gross_exposure,beats_btc_total,beats_btc_sharpe
MOM_LEAD_top2,momentum_lead,momentum_lead,14D,bull_only,2.0,,True,vol100,1.0,30,,,none,100,MOM_LEAD_top2__vol100,10.362368826443385,0.5290318616371517,0.6142412006548873,0.988562014337408,1.838921470841746,-0.670071565364474,0.789515462202002,0.34782608695652173,14.485668278809412,0.9640191473218495,0.9942583732057416,0.3939562861354326,1.0000000000000007,True,True
MOM_LEAD_top2,momentum_lead,momentum_lead,14D,bull_only,2.0,,True,trend100,,30,100.0,,none,100,MOM_LEAD_top2__trend100,4.4631683553837425,0.3453950318584029,0.8247998262767912,0.7602878222993728,1.3435677466399956,-0.78048431768797,0.4425393618177585,0.2898550724637681,17.445729723661163,1.1610108121289637,0.9808612440191388,0.4904306220095694,1.0000000000000009,True,True
MOM_LEAD_top2,momentum_lead,momentum_lead,14D,bull_only,2.0,,True,trend200,,30,200.0,,none,100,MOM_LEAD_top2__trend200,6.1465255583812235,0.4100403013446441,0.7746715613625024,0.822328030735483,1.4346666230574205,-0.7854671313617068,0.5220336853991424,0.2753623188405797,16.7939341009284,1.1866236542140853,0.8602870813397129,0.4569377990430622,1.0000000000000009,True,True
MOM_LEAD_top2,momentum_lead,momentum_lead,14D,bull_only,2.0,,True,vol50_trend100,0.5,30,100.0,,none,100,MOM_LEAD_top2__vol50_trend100,5.08194989696093,0.37085552850354,0.3628282211326076,1.0466824540949358,1.9608019293444532,-0.4468409867991372,0.829949667688488,0.34782608695652173,8.75712323183689,0.5827852956771985,0.9808612440191388,0.23472724271253978,1.0000000000000004,True,True
MOM_LEAD_top2,momentum_lead,momentum_lead,14D,bull_only,2.0,,True,vol40_trend200,0.4,30,200.0,,none,100,MOM_LEAD_top2__vol40_trend200,2.9724006111222216,0.2725339914289473,0.29063097783112146,0.9721526979093064,1.7665761838312444,-0.41501656356030514,0.6566822034546242,0.3188405797101449,7.467674396781865,0.5276499852825068,0.8602870813397129,0.19116458069337003,1.0000000000000004,True,True
MOM_LEAD_top2,momentum_lead,momentum_lead,14D,bull_only,2.0,,True,btc_ma100,,30,,,btc_ma,100,MOM_LEAD_top2__btc_ma100,11.43344455750915,0.5532888263066171,0.757800684077381,0.9464418769210355,1.715792173711747,-0.6604628129284085,0.8377289613830105,0.30434782608695654,17.445729723661163,1.1610108121289637,0.8842105263157894,0.4421052631578947,1.0000000000000007,True,True
MOM_LEAD_top2,momentum_lead,momentum_lead,14D,bull_only,2.0,,True,btc_ma200,,30,,,btc_ma,200,MOM_LEAD_top2__btc_ma200,7.1339835318692675,0.4422897375804544,0.7667978938244523,0.8497173903655049,1.5060538190014048,-0.7181011098583323,0.6159156858394353,0.2898550724637681,16.117821633665955,1.1530866230386363,0.8784688995215311,0.43923444976076553,1.0000000000000009,True,True
MOM_LEAD_top2,momentum_lead,momentum_lead,14D,bull_only,2.0,,True,btc_chandelier30,,30,,,btc_chandelier,100,MOM_LEAD_top2__btc_chandelier30,4.965794889805945,0.3662445793924791,0.8250669520837973,0.7788924539814938,1.3790629477646539,-0.7771874984673992,0.47124352889709026,0.2898550724637681,17.795179221028327,1.1842666260824521,0.9866028708133971,0.4933014354066986,1.0000000000000009,True,True
MOM_LEAD_top2,momentum_lead,momentum_lead,14D,bull_only,2.0,,True,asset_ma50,,30,,50.0,none,100,MOM_LEAD_top2__asset_ma50,1.8113098861646897,0.19794109429915197,0.8123808433699246,0.6181505634491243,1.0719396955731335,-0.8399185916775695,0.2356669994693226,0.2753623188405797,20.0771118618945,1.1265400665994523,0.8947368421052632,0.469377990430622,1.0000000000000009,False,True
MOM_LEAD_top2,momentum_lead,momentum_lead,14D,bull_only,2.0,,True,asset_ma100,,30,,100.0,none,100,MOM_LEAD_top2__asset_ma100,3.452416834792815,0.2981525804889611,0.8184471175971805,0.7169413530992927,1.2584624250329155,-0.7752663554605926,0.38458083262471254,0.2753623188405797,18.363911300891537,1.1424124689565938,0.9535885167464114,0.484688995215311,1.0000000000000009,True,True
MOM_LEAD_top2,momentum_lead,momentum_lead,14D,bull_only,2.0,,True,asset_ma50_btc_ma100,,30,,50.0,btc_ma,100,MOM_LEAD_top2__asset_ma50_btc_ma100,9.328206230985861,0.5037486346549958,0.7555388177244026,0.9045251185068905,1.628296022640115,-0.6775403682466465,0.7434961195870989,0.2898550724637681,19.15818059051666,1.1188548854791531,0.8339712918660287,0.42822966507177035,1.0000000000000007,True,True
MOM_LEAD_top2,momentum_lead,momentum_lead,14D,bull_only,2.0,,True,asset_ma100_btc_ma100,,30,,100.0,btc_ma,100,MOM_LEAD_top2__asset_ma100_btc_ma100,11.001196510885581,0.543715403862908,0.7554299247391828,0.9389020437481492,1.7002307715668818,-0.6746054810984997,0.8059753724169929,0.30434782608695654,17.561947151022633,1.129349164183047,0.868421052631579,0.4349282296650718,1.0000000000000007,True,True
MOM_LEAD_top2,momentum_lead,momentum_lead,14D,bull_only,2.0,,True,asset_ma50_vol60,0.6,30,,50.0,none,100,MOM_LEAD_top2__asset_ma50_vol60,4.735662707371768,0.3568859001717477,0.42447832120268775,0.925752639779542,1.7112603712507586,-0.5717794595240366,0.6241670529207684,0.3188405797101449,11.881168211480482,0.6666602308295119,0.8947368421052632,0.2607828892169866,1.0000000000000004,True,True
MOM_LEAD_top2,momentum_lead,momentum_lead,14D,bull_only,2.0,,True,asset_ma100_vol60,0.6,30,,100.0,none,100,MOM_LEAD_top2__asset_ma100_vol60,5.930569003183565,0.40250085063308716,0.4264720323981634,1.000814985702273,1.8732056612932484,-0.5066437852454915,0.7944454513303811,0.3333333333333333,10.94529288398732,0.680902824140843,0.9535885167464114,0.2710860219466256,1.0000000000000004,True,True
MOM_LEAD_top3,momentum_lead,momentum_lead,14D,bull_only,3.0,,True,none,,30,,,none,100,MOM_LEAD_top3__none,3.798674439849192,0.31525131794050587,0.7494320378162783,0.734121904968959,1.2614216701222771,-0.7462449631944439,0.4224501785459462,0.3333333333333333,16.499941552638628,1.0980687449334852,1.4913875598086124,0.4971291866028708,1.0000000000000007,True,True
