universe,min_history_days,min_daily_dollar_volume,earliest_universe_date,weight_name,stop_lb,seed_asset,risk_off_asset,multiple,cagr,sharpe,max_drawdown,annualized_turnover
medium,60,10000000,2023-01-30,base,14,eth,cash,12.944479479024212,1.114701626078948,1.4736110343809026,-0.3621175949162099,16.398046683661796
medium,60,10000000,2023-01-30,base,14,cash,cash,12.944479479024212,1.114701626078948,1.4736110343809026,-0.3621175949162099,16.398046683661796
medium,60,10000000,2023-01-30,base,12,btc,cash,12.750452720821835,1.1053815171835928,1.466644175661256,-0.372678118410664,16.983984303719488
medium,60,10000000,2023-01-30,base,12,eth,cash,12.750452720821835,1.1053815171835928,1.466644175661256,-0.372678118410664,16.983984303719488
medium,60,10000000,2023-01-30,base,12,cash,cash,12.750452720821835,1.1053815171835928,1.466644175661256,-0.372678118410664,16.983984303719488
loose,30,5000000,2022-12-31,breakout,13,btc,cash,12.579536622905687,1.0970880363694597,1.406720451700427,-0.4576364936023646,15.812650949564691
loose,30,5000000,2022-12-31,breakout,13,eth,cash,12.579536622905687,1.0970880363694597,1.406720451700427,-0.4576364936023646,15.812650949564691
loose,30,5000000,2022-12-31,breakout,13,cash,cash,12.579536622905687,1.0970880363694597,1.406720451700427,-0.4576364936023646,15.812650949564691
medium,60,10000000,2023-01-30,breakout,14,btc,eth,12.572903330427401,1.0967645615520047,1.276377378324482,-0.746564308946789,36.91162116609667
medium,60,10000000,2023-01-30,breakout,14,eth,eth,12.572903330427401,1.0967645615520047,1.276377378324482,-0.746564308946789,36.91162116609667
medium,60,10000000,2023-01-30,breakout,14,cash,eth,12.572903330427401,1.0967645615520047,1.276377378324482,-0.746564308946789,36.91162116609667
loose,30,5000000,2022-12-31,breakout,12,btc,cash,12.295383430335542,1.0831216366674754,1.4376250578030891,-0.39592997136736385,15.811994964213367
loose,30,5000000,2022-12-31,breakout,12,eth,cash,12.295383430335542,1.0831216366674754,1.4376250578030891,-0.39592997136736385,15.811994964213367
loose,30,5000000,2022-12-31,breakout,12,cash,cash,12.295383430335542,1.0831216366674754,1.4376250578030891,-0.39592997136736385,15.811994964213367
loose,30,5000000,2022-12-31,base,13,btc,eth,12.225906428746352,1.0796720902785966,1.2818083018882493,-0.7299745440809794,34.569139351891245
loose,30,5000000,2022-12-31,base,13,eth,eth,12.225906428746352,1.0796720902785966,1.2818083018882493,-0.7299745440809794,34.569139351891245
loose,30,5000000,2022-12-31,base,13,cash,eth,12.225906428746352,1.0796720902785966,1.2818083018882493,-0.7299745440809794,34.569139351891245
medium,60,10000000,2023-01-30,balanced,14,btc,eth,11.317757533995747,1.0332516734461605,1.2380462264861147,-0.750326888861394,36.911746403280034
medium,60,10000000,2023-01-30,balanced,14,eth,eth,11.317757533995747,1.0332516734461605,1.2380462264861147,-0.750326888861394,36.911746403280034
medium,60,10000000,2023-01-30,balanced,14,cash,eth,11.317757533995747,1.0332516734461605,1.2380462264861147,-0.750326888861394,36.911746403280034
loose,30,5000000,2022-12-31,base,12,btc,eth,10.6139889866483,0.9954305608181742,1.2410947057229074,-0.7175280642427835,34.56970197151617
loose,30,5000000,2022-12-31,base,12,eth,eth,10.6139889866483,0.9954305608181742,1.2410947057229074,-0.7175280642427835,34.56970197151617
loose,30,5000000,2022-12-31,base,12,cash,eth,10.6139889866483,0.9954305608181742,1.2410947057229074,-0.7175280642427835,34.56970197151617
