variant,weights,freq,stop_lb,multiple,cagr,sharpe,mdd,turnover
exbtc,all_alt,11D,12,3.380657095285505,0.427959443790916,1.0378890323288377,-0.4609325748682285,27.522110952163505
all,all_best,15D,11,3.2283986117645522,0.4088424477323793,0.9976503058384458,-0.5134475351178462,20.495602465450816
all,all_alt,15D,11,3.2283986117645522,0.4088424477323793,0.9976503058384458,-0.5134475351178462,20.495602465450816
exbtc,all_best,15D,11,3.2283986117645522,0.4088424477323793,0.9976503058384458,-0.5134475351178462,20.495602465450816
exbtc,all_alt,15D,11,3.2283986117645522,0.4088424477323793,0.9976503058384458,-0.5134475351178462,20.495602465450816
all,all_best,16D,12,3.159778031155344,0.4000177234204323,0.9475827928855292,-0.41886335138032604,20.793545586095
all,all_alt,16D,12,3.159778031155344,0.4000177234204323,0.9475827928855292,-0.41886335138032604,20.793545586095
exbtc,all_best,16D,12,3.159778031155344,0.4000177234204323,0.9475827928855292,-0.41886335138032604,20.793545586095
exbtc,all_alt,16D,12,3.159778031155344,0.4000177234204323,0.9475827928855292,-0.41886335138032604,20.793545586095
all,all_best,17D,13,3.156763998366276,0.3996270176576453,0.885860920792951,-0.539632391128568,18.73986213428909
all,all_alt,17D,13,3.156763998366276,0.3996270176576453,0.885860920792951,-0.539632391128568,18.73986213428909
exbtc,all_best,17D,13,3.156763998366276,0.3996270176576453,0.885860920792951,-0.539632391128568,18.73986213428909
all,all_best,17D,11,3.0743417239499546,0.3888388855395446,0.9050031724089315,-0.4688097690463676,21.670895753405205
all,all_alt,17D,11,3.0743417239499546,0.3888388855395446,0.9050031724089315,-0.4688097690463676,21.670895753405205
exbtc,all_best,17D,11,3.0743417239499546,0.3888388855395446,0.9050031724089315,-0.4688097690463676,21.670895753405205
all,all_best,15D,10,2.947018105828648,0.3717640778267821,0.9342117582815649,-0.5084364364593033,22.25199127567294
all,all_alt,15D,10,2.947018105828648,0.3717640778267821,0.9342117582815649,-0.5084364364593033,22.25199127567294
exbtc,all_best,15D,10,2.947018105828648,0.3717640778267821,0.9342117582815649,-0.5084364364593033,22.25199127567294
exbtc,all_alt,15D,10,2.947018105828648,0.3717640778267821,0.9342117582815649,-0.5084364364593033,22.25199127567294
all,all_best,16D,13,2.8169143116667352,0.3537684010073807,0.8559110242161739,-0.567288724240838,23.72187543490162
all,all_alt,16D,13,2.8169143116667352,0.3537684010073807,0.8559110242161739,-0.567288724240838,23.72187543490162
exbtc,all_best,16D,13,2.8169143116667352,0.3537684010073807,0.8559110242161739,-0.567288724240838,23.72187543490162
exbtc,all_alt,16D,13,2.8169143116667352,0.3537684010073807,0.8559110242161739,-0.567288724240838,23.72187543490162
all,all_best,17D,14,2.8029146964576737,0.3517972033835248,0.8210641879852395,-0.535943039208787,18.153938920194022
all,all_alt,17D,14,2.8029146964576737,0.3517972033835248,0.8210641879852395,-0.535943039208787,18.153938920194022
exbtc,all_best,17D,14,2.8029146964576737,0.3517972033835248,0.8210641879852395,-0.535943039208787,18.153938920194022
all,all_best,12D,14,2.7421333908458583,0.34315727133408047,0.9038416968630804,-0.5138110926856585,21.668012605489764
