rebalance_date,strategy,coin_id,coin_rank,coin_score,coin_weight
2021-01-31,TOP20_MOM_top8_monthly__always_on,the-graph,7,,0.125
2021-01-31,TOP20_MOM_top8_monthly__always_on,uniswap,8,,0.125
2021-01-31,TOP20_MOM_top8_monthly__bull_only,aave,1,,0.125
2021-01-31,TOP20_MOM_top8_monthly__bull_only,algorand,2,,0.125
2021-01-31,TOP20_MOM_top8_monthly__bull_only,chainlink,3,,0.125
2021-01-31,TOP20_MOM_top8_monthly__bull_only,dogecoin,4,,0.125
2021-01-31,TOP20_MOM_top8_monthly__bull_only,ethereum,5,,0.125
2021-01-31,TOP20_MOM_top8_monthly__bull_only,stellar,6,,0.125
2021-01-31,TOP20_MOM_top8_monthly__bull_only,the-graph,7,,0.125
2021-01-31,TOP20_MOM_top8_monthly__bull_only,uniswap,8,,0.125
2021-01-31,TOP20_SECTOR_top2_monthly__always_on,dogecoin,1,,0.7
2021-01-31,TOP20_SECTOR_top2_monthly__always_on,chainlink,2,,0.15000000000000002
2021-01-31,TOP20_SECTOR_top2_monthly__always_on,the-graph,3,,0.15000000000000002
2021-01-31,TOP20_SECTOR_top2_monthly__bull_only,dogecoin,1,,0.7
2021-01-31,TOP20_SECTOR_top2_monthly__bull_only,chainlink,2,,0.15000000000000002
2021-01-31,TOP20_SECTOR_top2_monthly__bull_only,the-graph,3,,0.15000000000000002
2021-01-31,TOP20_SECTOR_top3_monthly__always_on,dogecoin,1,,0.3333333333333333
2021-01-31,TOP20_SECTOR_top3_monthly__always_on,aave,2,,0.16666666666666666
2021-01-31,TOP20_SECTOR_top3_monthly__always_on,chainlink,3,,0.16666666666666666
2021-01-31,TOP20_SECTOR_top3_monthly__always_on,the-graph,4,,0.16666666666666666
2021-01-31,TOP20_SECTOR_top3_monthly__always_on,uniswap,5,,0.16666666666666666
2021-01-31,TOP20_SECTOR_top3_monthly__bull_only,dogecoin,1,,0.3333333333333333
2021-01-31,TOP20_SECTOR_top3_monthly__bull_only,aave,2,,0.16666666666666666
