,aave,algorand,arbitrum,aster-2,avalanche-2,axie-infinity,binancecoin,bitcoin,bitcoin-cash,bitget-token,bittensor,canton-network,cardano,chainlink,crypto-com-chain,decentraland,dogecoin,eos,ethereum,ethereum-classic,fantom,filecoin,hedera-hashgraph,htx-dao,hyperliquid,immutable-x,injective-protocol,internet-computer,leo-token,litecoin,maker,memecore,monero,near,neo,okb,optimism,pepe,pi-network,polkadot,rain,render-token,ripple,shiba-inu,sky,solana,stellar,sui,tezos,the-graph,the-open-network,theta-token,tron,uniswap,vechain,whitebit,world-liberty-financial,zcash
2024-02-15,0.0,0.0,0.11808512476449626,0.0,0.12338084040768589,0.0,0.0,0.0,0.0,0.0,0.13852244361387606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14584530393000725,0.11049352553918047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12589459554238827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11980255544626066,0.0,0.1193833738988693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-16,0.0,0.0,0.11738429204621563,0.0,0.12238495571596729,0.0,0.0,0.0,0.0,0.0,0.14011466175022397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14740637285433605,0.1146569375177261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12166144074910593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11923351985843085,0.0,0.11859963391228517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-17,0.0,0.0,0.1149257441526592,0.0,0.12094824260317462,0.0,0.0,0.0,0.0,0.0,0.13859099927371243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14805959610828687,0.12550759868656636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11960289268585174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11778819976830901,0.0,0.11601988763583179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-18,0.0,0.0,0.1159141179778342,0.0,0.11934074358789343,0.0,0.0,0.0,0.0,0.0,0.13113014489543495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15274266782964133,0.12566457537658934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345546755033235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11817615304951637,0.0,0.11498173138488663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-19,0.0,0.0,0.11744082067569887,0.0,0.11770584538502889,0.0,0.0,0.0,0.0,0.0,0.13220125284052722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15022674563478552,0.12206971822739951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12966771485915743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1181275764956101,0.0,0.11397404062777373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-20,0.0,0.0,0.11536071916091079,0.0,0.11519152790776638,0.0,0.0,0.0,0.0,0.0,0.1294008860614692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16300926275281727,0.11888062778482256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13360959526334654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115173852584817,0.0,0.11079260249755236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-21,0.0,0.0,0.11190125687913549,0.0,0.11682785107486704,0.0,0.0,0.0,0.0,0.0,0.1354771522185789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16056433179004115,0.1188465525243216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12844384180716467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11600352055557214,0.0,0.11340954867145694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-22,0.0,0.0,0.11118732987350659,0.0,0.11788624684221125,0.0,0.0,0.0,0.0,0.0,0.13043904934611913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15993929369657825,0.11920214090073687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1281294099445698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11588800243377412,0.0,0.11884991605467882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-23,0.0,0.0,0.11440344068052022,0.0,0.11898595230638474,0.0,0.0,0.0,0.0,0.0,0.13375807945555476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15554395866455217,0.11889629818829543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12772499199720658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176502940897335,0.0,0.11460934130669811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-24,0.0,0.0,0.12615710178072442,0.0,0.0,0.0,0.0,0.12509288395203844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12603735051198167,0.0,0.0,0.12444562738759551,0.0,0.0,0.0,0.1244522542274516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12872712714505466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12561217250781273,0.0,0.0,0.0,0.0,0.0,0.12156694114271374,0.0,0.0,0.0,0.0
2024-02-25,0.0,0.0,0.12756257534048043,0.0,0.0,0.0,0.0,0.12279954149229719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12832669242241038,0.0,0.0,0.1220282995960486,0.0,0.0,0.0,0.1267528102059351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13323907310258876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12362088313635271,0.0,0.0,0.0,0.0,0.0,0.11771716690325644,0.0,0.0,0.0,0.0
2024-02-26,0.0,0.0,0.12788379359519084,0.0,0.0,0.0,0.0,0.12807035204391637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12965252530476726,0.0,0.0,0.12127165870807297,0.0,0.0,0.0,0.12961336753079755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1300773586689226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12440899558336951,0.0,0.0,0.0,0.0,0.0,0.11104756260693055,0.0,0.0,0.0,0.0
2024-02-27,0.0,0.0,0.12634454460760144,0.0,0.0,0.0,0.0,0.13482923654876855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1330741167738805,0.0,0.0,0.1147186023896748,0.0,0.0,0.0,0.13168774543089035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12661289888487595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12077813775290659,0.0,0.0,0.0,0.0,0.0,0.11399183782663279,0.0,0.0,0.0,0.0
2024-02-28,0.0,0.0,0.12416139104427867,0.0,0.0,0.0,0.0,0.14466093681037331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13609516819034287,0.0,0.0,0.11324550779426064,0.0,0.0,0.0,0.12877269596853078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1262420877148951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11611891374956188,0.0,0.0,0.0,0.0,0.0,0.11269890359298199,0.0,0.0,0.0,0.0
2024-02-29,0.0,0.0,0.12629046386613696,0.0,0.0,0.0,0.0,0.1409050813129337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13367433106158141,0.0,0.0,0.11885447578033216,0.0,0.0,0.0,0.12262593528289756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12326721969891383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12226580213489154,0.0,0.0,0.0,0.0,0.0,0.11410266137063012,0.0,0.0,0.0,0.0
