strategy,universe_setting,min_history_days,min_daily_dollar_volume,earliest_universe_date,variant,stop_lookback,immediate_reentry,risk_on_fraction,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,annualized_turnover,avg_turnover_per_rebalance,average_holdings,multiple
strict__sector_lead_top1_7D__stop10__reentry0,strict,90.0,25000000.0,2023-02-27,sector_lead_top1_7D,10.0,False,0.5488782051282052,6.073137702865921,0.772084030872001,0.47689071918390197,1.419069783541829,3.460437728263183,-0.272713295772954,2.8311198714520884,0.2857142857142857,14.637303044592114,1.0009509150493678,0.10817307692307693,7.073137702865921
loose__momentum_lead_top1_7D_w0__stop10__reentry0,loose,30.0,5000000.0,2022-12-31,momentum_lead_top1_7D_w0,10.0,False,0.5488782051282052,6.019429475281454,0.7681379915555675,0.536822860876393,1.2978126280538693,3.268275561419458,-0.4498083397147048,1.7077006443294633,0.23809523809523808,14.637167415438395,1.0009416402447733,0.10817307692307693,7.019429475281454
strict__momentum_lead_top3_biweekly_w1__stop14__reentry0,strict,90.0,25000000.0,2023-02-27,momentum_lead_top3_biweekly_w1,14.0,False,0.561698717948718,5.99936215588236,0.7666581279065985,0.5163733839152013,1.3463764387766053,2.760729932043373,-0.37886394976490656,2.0235710691986575,0.30952380952380953,14.818891926722376,1.0555923016295392,0.5769230769230769,6.99936215588236
medium__momentum_lead_top1_biweekly_w0__stop21__reentry0,medium,60.0,10000000.0,2023-01-30,momentum_lead_top1_biweekly_w0,21.0,False,0.5488782051282052,5.96487699095652,0.7641079935236907,0.6867505514094876,1.1403909505118182,2.4103053573382636,-0.5895241990462676,1.2961435590936976,0.2619047619047619,15.815595871067726,1.2575892734687815,0.22916666666666666,6.96487699095652
medium__momentum_lead_top3_biweekly_w1__stop12__reentry0,medium,60.0,10000000.0,2023-01-30,momentum_lead_top3_biweekly_w1,12.0,False,0.5584935897435898,5.959786488276738,0.7637308010741382,0.50848014602533,1.352029971264578,2.9029874149294996,-0.34841358558866675,2.1920235968519046,0.30952380952380953,16.156756947053406,1.127404678217649,0.5552884615384616,6.959786488276738
strict__momentum_lead_top1_biweekly_w0__stop10__reentry0,strict,90.0,25000000.0,2023-02-27,momentum_lead_top1_biweekly_w0,10.0,False,0.5488782051282052,5.9439099865704925,0.7625531401441754,0.5615574463477496,1.2705635844646652,2.750023668836928,-0.47729691939241026,1.597649406819744,0.23809523809523808,13.468588329038218,1.046625045743443,0.16666666666666666,6.9439099865704925
medium__momentum_lead_top3_biweekly_w1__stop14__reentry0,medium,60.0,10000000.0,2023-01-30,momentum_lead_top3_biweekly_w1,14.0,False,0.561698717948718,5.898998926331745,0.759211451815551,0.5202060929371438,1.3286997235985654,2.758338266754753,-0.36315138601287955,2.090619727907702,0.35714285714285715,15.692399612110083,1.1178147668900333,0.5769230769230769,6.898998926331745
loose__momentum_lead_top1_biweekly_w0__stop18__reentry1,loose,30.0,5000000.0,2022-12-31,momentum_lead_top1_biweekly_w0,18.0,True,0.5584935897435898,5.783693767838458,0.7505609003718381,0.7266774021861957,1.1051944234009305,2.2699204470087015,-0.6306930327280553,1.1900573835821457,0.2619047619047619,32.2130796162652,1.1239005692227835,0.2980769230769231,6.783693767838458
loose__momentum_lead_top3_biweekly_w1__stop12__reentry0,loose,30.0,5000000.0,2022-12-31,momentum_lead_top3_biweekly_w1,12.0,False,0.5584935897435898,5.757452750565087,0.748577706589949,0.4970183171318395,1.3558260052319486,2.837470511583275,-0.37796843235250777,1.9805297017286272,0.2619047619047619,15.772109306707353,1.100564294927077,0.5552884615384616,6.757452750565087
medium__momentum_lead_top3_biweekly_w1__stop10__reentry0,medium,60.0,10000000.0,2023-01-30,momentum_lead_top3_biweekly_w1,10.0,False,0.5488782051282052,5.684473616902891,0.7430334254780804,0.4989516201660347,1.3448708369130695,2.8954550180726453,-0.43385081624436395,1.7126472917814475,0.2619047619047619,14.110722494196938,1.0965243880920161,0.5,6.684473616902891
