strategy,total_return,final_equity,cagr,vol,sharpe,maxdd,calmar,exposure,avg_gross,best_year,worst_year,beats_btc
BO_h2_lb14_ma100_x1,36.92922990469218,3792922.9904692178,0.8880694664131628,0.8360995403327667,1.1634173361833642,-0.6300863704078705,1.4094408451309515,0.5234674329501916,0.5246885192325178,11.25000012314001,-0.44042515029541385,True
BO_h1_lb21_ma20_x1.5,36.338602632960615,3733860.2632960617,0.8828966421129414,1.6359416794583208,1.124774984996759,-0.9611672742107574,0.9185671066858926,0.48659003831417624,0.7317079167157459,40.994061273805805,-0.7106253332645256,True
BO_h1_lb30_ma100_x1.5,34.2810060875571,3528100.60875571,0.8643317871061595,1.6938970510326967,1.1547307401503735,-0.9120073461181861,0.9477245888260111,0.5234674329501916,0.7902386362152827,7.196448799365372,-0.6121810285456081,True
BO_h2_lb14_ma100_x2,32.12723810501781,3312723.810501781,0.8439162509559441,1.7781260624843944,1.1814441431659426,-0.9099476377255654,0.9274338609915311,0.5234674329501916,1.0563661608001227,34.55153735609163,-0.758884631564567,True
BO_h2_lb21_ma100_x2,31.483125189664065,3248312.5189664066,0.8375980715178986,1.7538434113643582,1.186834801123396,-0.9577351510882517,0.8745612715228795,0.5234674329501916,1.0537057916296608,24.77129782548021,-0.6578072029113363,True
BO_h1_lb21_ma100_x2,27.691279682759674,2869127.9682759675,0.7981543724156841,2.5699318944970333,1.3243411515312933,-0.967929397449337,0.8245997843633639,0.5234674329501916,1.067578915270866,51.98339039911165,-0.8091538120629742,True
BO_h3_lb45_ma100_x1.25,26.39681774838939,2739681.7748389393,0.7837011800781433,1.1012485775776717,1.049250739753903,-0.7894951665558061,0.992661150158855,0.5234674329501916,0.655339615854535,11.883043229546479,-0.42597292040753676,True
BO_h3_lb21_ma20_x2,26.219487277969765,2721948.7277969765,0.7816775525901154,1.7761197644233357,1.1443227896280046,-0.979895889907603,0.7977149007776957,0.48659003831417624,0.9790568911126961,81.5604259879314,-0.7617037150220201,True
BO_h3_lb14_ma50_x1.25,24.76358450849865,2576358.450849865,0.7646386715895646,1.096410999608959,1.0412801974597057,-0.8619485547388451,0.8871047667354536,0.5201149425287356,0.6511088949969054,4.7379082802375905,-0.41924451353277614,True
BO_h3_lb45_ma100_x1.5,23.300799340369185,2430079.9340369185,0.7466993286781172,1.3263148168948713,1.0502903328191073,-0.8569808848442847,0.8713138669525797,0.5234674329501916,0.7878380831443197,14.780555565382615,-0.5049693464829753,True
BO_h3_lb45_ma100_x1,23.122725986082692,2412272.5986082694,0.7444550547824458,0.8835263511184799,1.0511617525709276,-0.6992296539211075,1.0646788942770453,0.5234674329501916,0.5242707124240567,8.589098848340448,-0.34441758693610247,True
BO_h3_lb14_ma50_x1.5,23.090966320078763,2409096.6320078764,0.7440533493182779,1.3219021138883456,1.049410684116026,-0.9180421919396193,0.8104783808969154,0.5201149425287356,0.781986645444672,5.691388406869395,-0.509120088347415,True
BO_h2_lb45_ma50_x1.25,22.268871727233158,2326887.1727233157,0.7335000064578969,1.0348289467983602,1.0276534845217067,-0.8201127823263911,0.8943891892249233,0.5201149425287356,0.651126007822059,12.86923539457948,-0.6440495977045494,True
BO_h2_lb45_ma50_x1.5,21.070758183952755,2207075.8183952756,0.7175547226985153,1.2500866155943084,1.0307026806903095,-0.8834447388159489,0.8122236639953616,0.5201149425287356,0.7824635354118072,17.63031811800461,-0.7295750002792589,True
BO_h3_lb14_ma50_x1,20.799798669879202,2179979.8669879204,0.7138498703040002,0.8767897006777942,1.0349396152313464,-0.7774076845525325,0.918243907911567,0.5201149425287356,0.521347096369708,3.5978654838452746,-0.3267373221494574,True
