date,2bps,20bps,50bps,100bps
2024-07-02,-0.0007161352017955869,-0.0007161352017955869,-0.0007161352017955869,-0.0007161352017955869
2024-07-03,-0.001536185735783624,-0.001575004804798108,-0.0016397032531555444,-0.0017475340004179385
2024-07-04,-0.003586105134719464,-0.0036082317219311433,-0.0036451093672839052,-0.0037065721095385085
2024-07-05,-0.001052194993080291,-0.001052194993080291,-0.001052194993080291,-0.001052194993080291
2024-07-06,-1.4896631702177032e-05,-0.00014896631702188134,-0.00037241579255464785,-0.0007448315851092957
2024-07-07,0.0,0.0,0.0,0.0
2024-07-08,0.0,0.0,0.0,0.0
2024-07-09,0.0,0.0,0.0,0.0
2024-07-10,0.0,0.0,0.0,0.0
2024-07-11,0.0,0.0,0.0,0.0
2024-07-12,0.0,0.0,0.0,0.0
2024-07-13,0.0,0.0,0.0,0.0
2024-07-14,0.0,0.0,0.0,0.0
2024-07-15,-0.00015849742387563648,-0.0003005824071625751,-0.0005373907126405841,-0.0009320712217708582
2024-07-16,-0.0015527985110241893,-0.0016179008530395889,-0.0017264047563987361,-0.0019072445953306483
2024-07-17,0.052888391864417406,0.05110040807709004,0.04812043509821118,0.04315381346674618
2024-07-18,-0.0754295702674348,-0.07568244853487471,-0.0761039123139412,-0.07680635194571872
2024-07-19,0.002609599321719225,0.0011085377117865391,-0.0013932316381012333,-0.005562847221247447
2024-07-20,0.0027074716470716353,0.0026248457660240643,0.0024871359642781865,0.002257619628035057
2024-07-21,0.017617822165568064,0.01620245762371475,0.013843516720625892,0.009911948548811056
2024-07-22,-0.017947187824499444,-0.01824543755795749,-0.018742520447054156,-0.019570991928881787
2024-07-23,-0.031202115403522468,-0.031322258229096955,-0.03152249627172121,-0.03185622634276164
2024-07-24,0.014374137412670906,0.0143571158550162,0.014328746592258135,0.014281464487661433
2024-07-25,-0.006032635649357854,-0.006328963188755532,-0.006822842421084885,-0.0076459744749671765
2024-07-26,0.001915840765750243,0.0018811326757492974,0.0018232858590812029,0.001726874497967712
2024-07-27,-0.0062033074776552954,-0.00637548954935141,-0.006662459668845044,-0.0071407432013343985
2024-07-28,-0.0033725220490599117,-0.003660391249282746,-0.004140173249653989,-0.0049398099169395415
2024-07-29,-0.008325895864865762,-0.008747243497130741,-0.009449489550905743,-0.010619899640530783
2024-07-30,0.029713722841693935,0.02909692861758373,0.028068938244066644,0.026355620954871206
2024-07-31,-0.005780232583095679,-0.0060437313265881976,-0.006482895899076024,-0.007214836853222106
2024-08-01,-0.040503877779133,-0.04075762058750776,-0.04118052526813254,-0.04188536640250695
2024-08-02,-0.05747470961949097,-0.057608174512680965,-0.0578306160013311,-0.05820135181574815
2024-08-03,-0.011752772415011492,-0.011779125802377388,-0.011823048114654067,-0.011896251968448346
2024-08-04,-0.004697690724211445,-0.006191430640375195,-0.00868099716731463,-0.012830274712213985
2024-08-05,-1.4866891138498595e-05,-0.00014866891138554106,-0.00037167227846379713,-0.0007433445569275943
2024-08-06,0.0,0.0,0.0,0.0
2024-08-07,0.0,0.0,0.0,0.0
2024-08-08,0.0,0.0,0.0,0.0
2024-08-09,0.0,0.0,0.0,0.0
2024-08-10,0.0,0.0,0.0,0.0
2024-08-11,0.0,0.0,0.0,0.0
2024-08-12,0.0,0.0,0.0,0.0
2024-08-13,0.0,0.0,0.0,0.0
2024-08-14,0.0,0.0,0.0,0.0
2024-08-15,0.0,0.0,0.0,0.0
2024-08-16,0.0,0.0,0.0,0.0
2024-08-17,0.0,0.0,0.0,0.0
2024-08-18,0.0,0.0,0.0,0.0
2024-08-19,0.0,0.0,0.0,0.0
2024-08-20,0.0,0.0,0.0,0.0
2024-08-21,0.0,0.0,0.0,0.0
2024-08-22,0.0,0.0,0.0,0.0
2024-08-23,0.0,0.0,0.0,0.0
2024-08-24,0.0,0.0,0.0,0.0
2024-08-25,0.01501761426464543,0.013365504766043035,0.010611988935038896,0.006022795883365406
2024-08-26,-0.029130542488847277,-0.029183369163920503,-0.02927141362237573,-0.029418154386467776
2024-08-27,-0.027800731024752334,-0.028038364528768622,-0.028434420368795732,-0.02909451343550773
2024-08-28,-0.0004345614622400795,-0.0019229919989645072,-0.004403709560171776,-0.008538238828850409
2024-08-29,-1.567129263857492e-05,-0.00015671292638608225,-0.0003917823159651501,-0.0007835646319303002
2024-08-30,0.0,0.0,0.0,0.0
2024-08-31,0.0,0.0,0.0,0.0
2024-09-01,0.0,0.0,0.0,0.0
2024-09-02,0.0,0.0,0.0,0.0
2024-09-03,0.0,0.0,0.0,0.0
2024-09-04,0.0,0.0,0.0,0.0
2024-09-05,0.0,0.0,0.0,0.0
2024-09-06,0.0,0.0,0.0,0.0
2024-09-07,0.0,0.0,0.0,0.0
2024-09-08,0.0,0.0,0.0,0.0
2024-09-09,0.0,0.0,0.0,0.0
2024-09-10,0.0,0.0,0.0,0.0
2024-09-11,0.0,0.0,0.0,0.0
2024-09-12,0.0,0.0,0.0,0.0
2024-09-13,0.0,0.0,0.0,0.0
2024-09-14,0.0,0.0,0.0,0.0
2024-09-15,-0.0027116005813696553,-0.0028408312247512058,-0.00305621563038716,-0.0034151896397804915
2024-09-16,-0.0021578817389760196,-0.0021578817389760196,-0.0021578817389760196,-0.0021578817389760196
2024-09-17,-1.3493367528649713e-05,-0.0001349336752862751,-0.0003373341882155767,-0.0006746683764311534
2024-09-18,0.0,0.0,0.0,0.0
2024-09-19,0.0023544386533536077,0.002278344490528994,0.0021515208858211565,0.001940148211308168
2024-09-20,0.027875322228656962,0.027127304809977826,0.02588060911217882,0.0238027829491807
2024-09-21,0.005878748447236237,0.005829823419312374,0.005748281706105418,0.005612378850760713
