rebalance_date,sector,coin_id,coin_rank_in_sector,coin_score,coin_weight
2024-10-31,Meme,dogecoin,1,0.5537189498229992,0.25
2024-10-31,Meme,shiba-inu,2,0.19629136150434828,0.25
2024-10-31,Smart Contract Platform / L1,sui,1,0.9531372343108941,0.15
2024-10-31,Smart Contract Platform / L1,bittensor,2,0.3675729116838245,0.15
2024-10-31,Store of Value,bitcoin,1,0.17355761881712722,0.2
2024-11-14,Meme,dogecoin,1,2.32477497852999,0.25
2024-11-14,Meme,pepe,2,1.4079905648597402,0.25
2024-11-14,Smart Contract Platform / L1,sui,1,1.5706242508597628,0.15
2024-11-14,Smart Contract Platform / L1,crypto-com-chain,2,0.867363893074077,0.15
2024-11-14,Store of Value,bitcoin,1,0.3907284549292179,0.2
2024-11-28,Payments,stellar,1,4.131573573077388,0.25
2024-11-28,Payments,hedera-hashgraph,2,1.728315496706082,0.25
2024-11-28,Meme,dogecoin,1,1.9011952184046104,0.15
2024-11-28,Meme,shiba-inu,2,0.4271037832871958,0.15
2024-11-28,DeFi,uniswap,1,0.7510163026184613,0.2
2024-12-12,Payments,hedera-hashgraph,1,4.071414274269825,0.25
2024-12-12,Payments,stellar,2,2.8732898712264463,0.25
2024-12-12,Oracle / Middleware,chainlink,1,1.3634755547278938,0.3
2024-12-12,Meme,dogecoin,1,1.3873337954906981,0.1
2024-12-12,Meme,shiba-inu,2,0.412578534884828,0.1
2024-12-26,Payments,hedera-hashgraph,1,2.686382267454783,0.25
2024-12-26,Payments,ripple,2,1.7536417829829838,0.25
2024-12-26,Meme,dogecoin,1,0.5599101816228336,0.15
2024-12-26,Meme,pepe,2,0.3700788108241846,0.15
2024-12-26,Oracle / Middleware,chainlink,1,0.6304451368083919,0.1
2024-12-26,Oracle / Middleware,render-token,2,0.1291824096959475,0.1
2025-01-09,Exchange / Trading Infrastructure,bitget-token,1,2.7914461646367945,0.5
2025-01-09,Payments,hedera-hashgraph,1,1.9772970441788067,0.15
2025-01-09,Payments,ripple,2,1.4808912775706138,0.15
2025-01-09,DeFi,aave,1,0.3425124718031892,0.2
2025-01-23,Exchange / Trading Infrastructure,bitget-token,1,2.3359149345002397,0.25
2025-01-23,Exchange / Trading Infrastructure,binancecoin,2,0.04913715809637072,0.25
2025-01-23,Payments,ripple,1,1.569317905196999,0.15
2025-01-23,Payments,hedera-hashgraph,2,1.5410118665380148,0.15
2025-01-23,DeFi,aave,1,0.5308120650864526,0.2
2025-02-06,Exchange / Trading Infrastructure,bitget-token,1,1.3701863553455467,0.5
2025-02-06,Payments,ripple,1,0.6196411994979263,0.15
2025-02-06,Payments,hedera-hashgraph,2,0.47778839438703663,0.15
2025-02-06,Store of Value,bitcoin,1,0.036586050247408734,0.2
2025-02-20,Payments,litecoin,1,0.2266954671987645,0.25
2025-02-20,Payments,ripple,2,0.15483731781269056,0.25
2025-02-20,Exchange / Trading Infrastructure,bitget-token,1,0.24537540146332992,0.3
2025-02-20,Store of Value,bitcoin,1,-0.027886089793110205,0.2
2025-05-15,Privacy,monero,1,0.5709710545874044,0.5
2025-05-15,Meme,pepe,1,0.8971994546780281,0.15
2025-05-15,Meme,dogecoin,2,0.34368853695667984,0.15
2025-05-15,Smart Contract Platform / L1,sui,1,0.6852095548091233,0.1
2025-05-15,Smart Contract Platform / L1,ethereum,2,0.42443513928160503,0.1
2025-05-29,Privacy,monero,1,0.4703522557826855,0.5
2025-05-29,Store of Value,bitcoin,1,0.21587437071308505,0.3
2025-05-29,Smart Contract Platform / L1,ethereum,1,0.42713524418981913,0.1
2025-05-29,Smart Contract Platform / L1,solana,2,0.22769959026247016,0.1
2025-06-12,Store of Value,bitcoin,1,0.17637025870316964,0.5
2025-06-12,Privacy,monero,1,0.2891956974414568,0.3
2025-06-12,Smart Contract Platform / L1,ethereum,1,0.36882166931467014,0.1
2025-06-12,Smart Contract Platform / L1,sui,2,0.17683578127152189,0.1
2025-06-26,Exchange / Trading Infrastructure,whitebit,1,0.5719544739123802,0.25
2025-06-26,Exchange / Trading Infrastructure,binancecoin,2,0.006583401889004281,0.25
2025-06-26,Privacy,monero,1,0.0785248856713005,0.3
2025-06-26,Store of Value,bitcoin,1,0.08430153550418136,0.2
2025-07-10,Exchange / Trading Infrastructure,whitebit,1,0.5335622644500162,0.25
2025-07-10,Exchange / Trading Infrastructure,binancecoin,2,0.03382875047677587,0.25
2025-07-10,Store of Value,bitcoin,1,0.09105186540298271,0.3
2025-07-10,Privacy,monero,1,0.10327271923759627,0.2
2025-07-24,Payments,stellar,1,0.6206232301459036,0.25
2025-07-24,Payments,hedera-hashgraph,2,0.4580853182897922,0.25
2025-07-24,Exchange / Trading Infrastructure,hyperliquid,1,0.4095310872568536,0.15
2025-07-24,Exchange / Trading Infrastructure,binancecoin,2,0.2126013754409391,0.15
2025-07-24,Oracle / Middleware,chainlink,1,0.3027495449421249,0.2
2025-08-07,DeFi,uniswap,1,0.43403464767276634,0.5
2025-08-07,Payments,stellar,1,0.5368010929435544,0.15
2025-08-07,Payments,hedera-hashgraph,2,0.45924263239408514,0.15
2025-08-07,Exchange / Trading Infrastructure,binancecoin,1,0.18204049608238493,0.1
2025-08-07,Exchange / Trading Infrastructure,whitebit,2,0.17384869532227332,0.1
2025-08-21,Oracle / Middleware,chainlink,1,0.6575191716799587,0.5
2025-08-21,DeFi,uniswap,1,0.3164199184002426,0.3
2025-08-21,Payments,hedera-hashgraph,1,0.21003447780602671,0.1
2025-08-21,Payments,stellar,2,0.2099733914668816,0.1
2025-09-04,Oracle / Middleware,chainlink,1,0.5967829159846346,0.5
2025-09-04,Smart Contract Platform / L1,crypto-com-chain,1,1.60566990650731,0.15
2025-09-04,Smart Contract Platform / L1,ethereum,2,0.49660317241588203,0.15
2025-09-04,Payments,bitcoin-cash,1,0.20710127470566986,0.1
2025-09-04,Payments,stellar,2,0.1757111184396431,0.1
2025-09-18,Exchange / Trading Infrastructure,hyperliquid,1,0.3706099178541028,0.25
2025-09-18,Exchange / Trading Infrastructure,binancecoin,2,0.2979023038400669,0.25
2025-09-18,Oracle / Middleware,chainlink,1,0.22353410321823375,0.3
2025-09-18,Smart Contract Platform / L1,crypto-com-chain,1,0.9127219413260088,0.1
2025-09-18,Smart Contract Platform / L1,solana,2,0.4176166478945813,0.1
2025-10-02,Oracle / Middleware,chainlink,1,0.26496930399989316,0.5
2025-10-02,Exchange / Trading Infrastructure,binancecoin,1,0.33353483954038393,0.15
2025-10-02,Exchange / Trading Infrastructure,hyperliquid,2,0.1637656405514178,0.15
2025-10-02,Smart Contract Platform / L1,avalanche-2,1,0.43410943402439245,0.1
2025-10-02,Smart Contract Platform / L1,crypto-com-chain,2,0.35446361240333707,0.1
