coin_id,price,market_cap,volume_usd,history_days,symbol,name,sector,rebalance_date,universe_rank
polkadot,42.84,72028717794.18039,221167862.93,183,DOT,Polkadot,Smart Contract Platform / L1,2021-10-21,5
ripple,1.089,67049717696.146126,124023631.41,183,XRP,XRP,Payments,2021-10-21,6
binancecoin,471.13,63492841705.47743,120772545.04,183,BNB,BNB,Exchange / Trading Infrastructure,2021-10-21,7
filecoin,63.62,49198759215.159386,35861108.25,183,FIL,Filecoin,Oracle / Middleware,2021-10-21,8
dogecoin,0.2424,37314235642.87863,103108203.98,183,DOGE,Dogecoin,Meme,2021-10-21,9
avalanche-2,61.53,26527269258.289753,60522124.5,183,AVAX,Avalanche,Smart Contract Platform / L1,2021-10-21,10
internet-computer,44.65,24643344315.575123,40129357.25,183,ICP,Internet Computer,Smart Contract Platform / L1,2021-10-21,11
chainlink,28.27,20546618296.20431,222752586.62,183,LINK,Chainlink,Oracle / Middleware,2021-10-21,12
axie-infinity,119.72,20328709855.799454,54691218.93,183,AXS,Axie Infinity,Other,2021-10-21,13
uniswap,26.09,16529521120.160282,41925016.14,183,UNI,Uniswap,DeFi,2021-10-21,14
algorand,1.784,15905505469.695856,72648939.84,183,ALGO,Algorand,Smart Contract Platform / L1,2021-10-21,15
litecoin,196.89,15170468478.216745,190546381.08,183,LTC,Litecoin,Payments,2021-10-21,16
bitcoin-cash,623.48,12484049282.670527,66685209.9,183,BCH,Bitcoin Cash,Payments,2021-10-21,17
stellar,0.3734,12383686646.250008,82620500.04,183,XLM,Stellar,Payments,2021-10-21,18
vechain,0.1295,11135000577.005035,53920409.91,183,VET,VeChain,Payments,2021-10-21,19
the-graph,0.9339,10084168181.918009,59468817.39,183,GRT,The Graph,Oracle / Middleware,2021-10-21,20
bitcoin,61349.75,1228122946521.588,1181933822.61,193,BTC,Bitcoin,Store of Value,2021-10-31,1
ethereum,4290.1,517843456633.11035,1135939130.48,193,ETH,Ethereum,Smart Contract Platform / L1,2021-10-31,2
solana,202.66,116607265793.15916,522968442.34,193,SOL,Solana,Smart Contract Platform / L1,2021-10-31,3
cardano,1.966,72660726141.82796,57125601.65,193,ADA,Cardano,Smart Contract Platform / L1,2021-10-31,4
polkadot,42.77,71911023810.85657,143053289.49,193,DOT,Polkadot,Smart Contract Platform / L1,2021-10-31,5
binancecoin,524.94,70744661398.92032,91052285.85,193,BNB,BNB,Exchange / Trading Infrastructure,2021-10-31,6
ripple,1.113,68527397424.98682,113084103.44,193,XRP,XRP,Payments,2021-10-31,7
filecoin,64.41,49809683763.72864,73848837.36,193,FIL,Filecoin,Oracle / Middleware,2021-10-31,8
dogecoin,0.2802,43133039715.90179,200835275.49,193,DOGE,Dogecoin,Meme,2021-10-31,9
shiba-inu,6.704e-05,39463074311.13387,53578418.49,193,SHIB,Shiba Inu,Meme,2021-10-31,10
internet-computer,44.99,24830998001.29283,44900208.93,193,ICP,Internet Computer,Smart Contract Platform / L1,2021-10-31,11
axie-infinity,138.24,23473445125.841267,66745939.1,193,AXS,Axie Infinity,Other,2021-10-31,12
chainlink,30.02,21818517200.284878,100729738.23,193,LINK,Chainlink,Oracle / Middleware,2021-10-31,13
hedera-hashgraph,0.4074,17645633353.870106,29984660.56,193,HBAR,Hedera,Payments,2021-10-31,14
algorand,1.83,16315625005.34945,51035279.54,193,ALGO,Algorand,Smart Contract Platform / L1,2021-10-31,15
litecoin,191.97,14791380129.835281,83073003.65,193,LTC,Litecoin,Payments,2021-10-31,16
stellar,0.3732,12377053712.856194,119442410.54,193,XLM,Stellar,Payments,2021-10-31,17
bitcoin-cash,597.0,11953835602.993366,31974258.09,193,BCH,Bitcoin Cash,Payments,2021-10-31,18
the-graph,1.046,11294613896.869297,73510698.11,193,GRT,The Graph,Oracle / Middleware,2021-10-31,19
ethereum-classic,54.41,8514875479.445637,57532911.04,193,ETC,Ethereum Classic,Store of Value,2021-10-31,20
bitcoin,61448.47,1230099161539.263,1420765190.91,197,BTC,Bitcoin,Store of Value,2021-11-04,1
ethereum,4536.99,547644713249.07465,1369081687.71,197,ETH,Ethereum,Smart Contract Platform / L1,2021-11-04,2
solana,247.17,142217595411.50275,981490100.53,197,SOL,Solana,Smart Contract Platform / L1,2021-11-04,3
polkadot,53.91,90641180585.5337,232985507.27,197,DOT,Polkadot,Smart Contract Platform / L1,2021-11-04,4
binancecoin,559.5,75402213686.69926,69881431.1,197,BNB,BNB,Exchange / Trading Infrastructure,2021-11-04,5
ripple,1.202,74007126419.43768,116447053.96,197,XRP,XRP,Payments,2021-11-04,6
cardano,1.982,73252064706.56308,63365749.84,197,ADA,Cardano,Smart Contract Platform / L1,2021-11-04,7
