,strategy_5bps,strategy_8bps,strategy_10bps,strategy_15bps,btc
2023-05-02,-0.004814442613568115,-0.004814442613568115,-0.004814442613568115,-0.004814442613568115,0.020966011835511722
2023-05-03,0.0322815496997122,0.0322815496997122,0.0322815496997122,0.0322815496997122,0.011358598458605096
2023-05-04,-0.0037805365067892227,-0.0037805365067892227,-0.0037805365067892227,-0.0037805365067892227,-0.005467641109401344
2023-05-05,0.007098540475165116,0.007098540475165116,0.007098540475165116,0.007098540475165116,0.023803358782616302
2023-05-06,-0.05751739849153814,-0.05751739849153814,-0.05751739849153814,-0.05751739849153814,-0.021322945832018436
2023-05-07,-0.007416813194367378,-0.0074475476951928465,-0.007468037362409863,-0.007519261530452348,-0.015556184517382499
2023-05-08,-0.033150670245134406,-0.033150670245134406,-0.033150670245134406,-0.033150670245134406,-0.026733648559052914
2023-05-09,-0.000434597676008619,-0.0006953562816136571,-0.0008691953520171269,-0.001303793028025746,-0.001281789339155348
2023-05-10,0.0,0.0,0.0,0.0,-0.0013383978728631618
2023-05-11,0.0,0.0,0.0,0.0,-0.022481117836492426
2023-05-12,0.0,0.0,0.0,0.0,-0.007251551254087829
2023-05-13,0.0,0.0,0.0,0.0,-0.0007801573245189708
2023-05-14,0.0,0.0,0.0,0.0,0.0054718807797982105
2023-05-15,0.0,0.0,0.0,0.0,0.009730752650693786
2023-05-16,0.0,0.0,0.0,0.0,-0.005738398545218293
2023-05-17,0.0,0.0,0.0,0.0,0.013394829185998436
2023-05-18,0.0,0.0,0.0,0.0,-0.020679470836020286
2023-05-19,0.0,0.0,0.0,0.0,0.0021585603061486935
2023-05-20,0.0,0.0,0.0,0.0,0.008905052830698423
2023-05-21,0.0,0.0,0.0,0.0,-0.013850584098267116
2023-05-22,0.0,0.0,0.0,0.0,0.003642544066458475
2023-05-23,0.0,0.0,0.0,0.0,0.013945294072507997
2023-05-24,0.0,0.0,0.0,0.0,-0.032723033974224935
2023-05-25,0.0,0.0,0.0,0.0,0.005368911848386837
2023-05-26,0.0,0.0,0.0,0.0,0.009181203627847578
2023-05-27,0.0,0.0,0.0,0.0,0.005578846905021528
2023-05-28,0.0,0.0,0.0,0.0,0.0453058475611916
2023-05-29,0.0,0.0,0.0,0.0,-0.012097386000510468
2023-05-30,0.0,0.0,0.0,0.0,-0.001569085637222134
2023-05-31,0.0,0.0,0.0,0.0,-0.017424160333586625
2023-06-01,0.0,0.0,0.0,0.0,-0.014683703207214571
2023-06-02,0.0,0.0,0.0,0.0,0.0160184995660253
2023-06-03,0.0,0.0,0.0,0.0,-0.0064022819196227765
2023-06-04,0.0,0.0,0.0,0.0,0.0016228101456949862
2023-06-05,0.0,0.0,0.0,0.0,-0.05011124401559974
2023-06-06,0.0,0.0,0.0,0.0,0.057402218893350065
2023-06-07,0.0,0.0,0.0,0.0,-0.03277623861344414
2023-06-08,0.0,0.0,0.0,0.0,0.006157179760212239
2023-06-09,0.0,0.0,0.0,0.0,-0.0010502709297435242
2023-06-10,0.0,0.0,0.0,0.0,-0.023758503729713776
2023-06-11,0.0,0.0,0.0,0.0,0.003439953894778025
2023-06-12,0.0,0.0,0.0,0.0,-0.0014521189856492311
2023-06-13,0.0,0.0,0.0,0.0,0.0006265237551117409
2023-06-14,0.0,0.0,0.0,0.0,-0.030636214444399457
2023-06-15,0.0,0.0,0.0,0.0,0.017979030503713744
2023-06-16,0.0,0.0,0.0,0.0,0.029365687192300483
2023-06-17,0.0,0.0,0.0,0.0,0.006959047170107979
2023-06-18,0.0,0.0,0.0,0.0,-0.006580874839479334
2023-06-19,0.0,0.0,0.0,0.0,0.01954781965714525
2023-06-20,0.0,0.0,0.0,0.0,0.05498708238694894
2023-06-21,0.0,0.0,0.0,0.0,0.060005609156435824
2023-06-22,0.0,0.0,0.0,0.0,-0.0038303394683270042
2023-06-23,0.0,0.0,0.0,0.0,0.02618281347406981
2023-06-24,0.0,0.0,0.0,0.0,-0.0047816366904975816
2023-06-25,-0.04201172034502043,-0.04215178632965688,-0.042245163652747775,-0.04247860696047523,-0.0022401356062446975
2023-06-26,0.06681011462055508,0.06681011462055508,0.06681011462055508,0.06681011462055508,-0.006861180907923647
2023-06-27,0.014943821516183453,0.014943821516183453,0.014943821516183453,0.014943821516183453,0.01377658592523967
2023-06-28,-0.010541108498530294,-0.010541108498530294,-0.010541108498530294,-0.010541108498530294,-0.019614000647934393
2023-06-29,0.06231863844559982,0.06231863844559982,0.06231863844559982,0.06231863844559982,0.011935853855382872
2023-06-30,0.10778330273731695,0.10778330273731695,0.10778330273731695,0.10778330273731695,0.0010477808555897639
2023-07-01,-0.026846633909697326,-0.026846633909697326,-0.026846633909697326,-0.026846633909697326,0.003702032975707814
2023-07-02,0.011678676898696505,0.011636603085801056,0.011608553877203942,0.011538430855711601,0.0010033054140188291
2023-07-03,-0.014587681273300679,-0.014587681273300679,-0.014587681273300679,-0.014587681273300679,0.01749365621826726
2023-07-04,-0.023900856573612295,-0.023900856573612295,-0.023900856573612295,-0.023900856573612295,-0.012159861222593826
2023-07-05,-0.0007256349129177719,-0.0007256349129177719,-0.0007256349129177719,-0.0007256349129177719,-0.008558668531252867
2023-07-06,0.008051589151028216,0.008051589151028216,0.008051589151028216,0.008051589151028216,-0.01982124053245038
2023-07-07,0.0016754351968479853,0.0016754351968479853,0.0016754351968479853,0.0016754351968479853,0.014474643151686672
2023-07-08,-0.00968558682018883,-0.00968558682018883,-0.00968558682018883,-0.00968558682018883,-0.001638756363776861
2023-07-09,-0.009933490712489057,-0.009937891550727995,-0.009940825442887324,-0.009948160173285592,-0.004004536964804184
2023-07-10,0.014223585864558963,0.014223585864558963,0.014223585864558963,0.014223585864558963,0.008061915939097775
2023-07-11,-0.0008612824778948536,-0.0008612824778948536,-0.0008612824778948536,-0.0008612824778948536,0.006788854354138785
2023-07-12,0.013157142445949566,0.013157142445949566,0.013157142445949566,0.013157142445949566,-0.007488493565534826
2023-07-13,-0.012565492716901883,-0.012565492716901883,-0.012565492716901883,-0.012565492716901883,0.03568096431414691
2023-07-14,-0.015385613169965784,-0.015385613169965784,-0.015385613169965784,-0.015385613169965784,-0.036280931058698784
2023-07-15,-0.017444261615968792,-0.017444261615968792,-0.017444261615968792,-0.017444261615968792,-0.0012613383306077086
2023-07-16,-0.00571416467033381,-0.005719267383870963,-0.0057226691928956575,-0.005731173715457616,-0.0015406314374147856
2023-07-17,-0.012701602459741723,-0.012701602459741723,-0.012701602459741723,-0.012701602459741723,-0.0034130956889071307
2023-07-18,0.0034184555711058717,0.0034184555711058717,0.0034184555711058717,0.0034184555711058717,-0.009597540692356188
2023-07-19,-1.1767727611133871e-05,-1.1767727611133871e-05,-1.1767727611133871e-05,-1.1767727611133871e-05,0.001921184843179935
2023-07-20,-0.0005187710637485354,-0.0005187710637485354,-0.0005187710637485354,-0.0005187710637485354,-0.00407525355297067
2023-07-21,0.003663756321073963,0.003663756321073963,0.003663756321073963,0.003663756321073963,0.003918080577023364
2023-07-22,-0.011805162880678233,-0.011805162880678233,-0.011805162880678233,-0.011805162880678233,-0.004578629963999492
2023-07-23,0.0002755391929483153,4.9700152482179405e-05,-0.0001008592078287629,-0.00047725760860561905,0.010504449958706585
2023-07-24,-0.02264148691201129,-0.02264148691201129,-0.02264148691201129,-0.02264148691201129,-0.030169109410660977
2023-07-25,-0.0013464135288332457,-0.0013464135288332457,-0.0013464135288332457,-0.0013464135288332457,0.0017299743403527135
2023-07-26,0.023970385463240484,0.023970385463240484,0.023970385463240484,0.023970385463240484,0.004365154730028298
2023-07-27,0.0071063916439717545,0.0071063916439717545,0.0071063916439717545,0.0071063916439717545,-0.0049151333365471395
2023-07-28,0.0018728673448522581,0.0018728673448522581,0.0018728673448522581,0.0018728673448522581,0.003716315101873535
2023-07-29,-0.002889635478996455,-0.002889635478996455,-0.002889635478996455,-0.002889635478996455,0.0012849285176692593
2023-07-30,-0.004099050425482864,-0.004100641925702808,-0.0041017029258494375,-0.004104355426216011,-0.0027799440383485807
2023-07-31,-0.013658307666192027,-0.013658307666192027,-0.013658307666192027,-0.013658307666192027,-0.001543863119390032
2023-08-01,0.006530550642548372,0.006530550642548372,0.006530550642548372,0.006530550642548372,0.01524529350100079
2023-08-02,-0.02027117079735208,-0.02027117079735208,-0.02027117079735208,-0.02027117079735208,-0.017649869601767287
2023-08-03,-0.010818138447097558,-0.010818138447097558,-0.010818138447097558,-0.010818138447097558,0.0009165452627826198
2023-08-04,-0.006097547882155552,-0.006097547882155552,-0.006097547882155552,-0.006097547882155552,-0.003584365580922455
2023-08-05,0.0058862287230718735,0.0058862287230718735,0.0058862287230718735,0.0058862287230718735,-0.001099452323257366
2023-08-06,-0.0001561660274298493,-0.0002498656438877367,-0.0003123320548595876,-0.0004684980822894369,-9.296121568524995e-06
2023-08-07,0.0,0.0,0.0,0.0,0.0047766489085849795
2023-08-08,0.0,0.0,0.0,0.0,0.020044624666726074
2023-08-09,0.0,0.0,0.0,0.0,-0.006853512168440989
2023-08-10,0.0,0.0,0.0,0.0,-0.004461953664944729
2023-08-11,0.0,0.0,0.0,0.0,-0.0010831611607053926
2023-08-12,0.0,0.0,0.0,0.0,0.0006207631750929643
2023-08-13,0.0,0.0,0.0,0.0,-0.004523058788296397
2023-08-14,0.0,0.0,0.0,0.0,0.004286737630640802
2023-08-15,0.0,0.0,0.0,0.0,-0.00809615619735482
2023-08-16,0.0,0.0,0.0,0.0,-0.01606315064249275
2023-08-17,0.0,0.0,0.0,0.0,-0.07097920634743726
2023-08-18,0.0,0.0,0.0,0.0,-0.023064071675620856
2023-08-19,0.0,0.0,0.0,0.0,0.001790727189137753
2023-08-20,0.0,0.0,0.0,0.0,0.0035783026528215522
2023-08-21,0.0,0.0,0.0,0.0,-0.002498833653048038
2023-08-22,0.0,0.0,0.0,0.0,-0.003540203399861719
2023-08-23,0.0,0.0,0.0,0.0,0.015365272800337726
2023-08-24,0.0,0.0,0.0,0.0,-0.010187316713050842
2023-08-25,0.0,0.0,0.0,0.0,-0.004384298248354179
2023-08-26,0.0,0.0,0.0,0.0,-0.001505170831382241
2023-08-27,0.0,0.0,0.0,0.0,0.0031232454243237395
2023-08-28,0.0,0.0,0.0,0.0,0.000630769093522332
2023-08-29,0.0,0.0,0.0,0.0,0.06210195537630758
2023-08-30,0.0,0.0,0.0,0.0,-0.015512733583771365
2023-08-31,0.0,0.0,0.0,0.0,-0.050034039583647494
2023-09-01,0.0,0.0,0.0,0.0,-0.005042078453753929
2023-09-02,0.0,0.0,0.0,0.0,0.002638444045306443
2023-09-03,0.0,0.0,0.0,0.0,0.0038953959860172915
2023-09-04,0.0,0.0,0.0,0.0,-0.0060513939960911145
2023-09-05,0.0,0.0,0.0,0.0,-0.001256506737181029
2023-09-06,0.0,0.0,0.0,0.0,-0.0010374536679930157
2023-09-07,0.0,0.0,0.0,0.0,0.018908638468769112
2023-09-08,0.0,0.0,0.0,0.0,-0.012749186581200389
2023-09-09,0.0,0.0,0.0,0.0,-0.0003850715620066225
2023-09-10,0.0,0.0,0.0,0.0,-0.00245029203350422
2023-09-11,0.0,0.0,0.0,0.0,-0.02591998723857003
2023-09-12,0.0,0.0,0.0,0.0,0.026654094370700765
2023-09-13,0.0,0.0,0.0,0.0,0.015289582385729528
2023-09-14,0.0,0.0,0.0,0.0,0.011870768177949298
2023-09-15,0.0,0.0,0.0,0.0,0.002600594163630676
2023-09-16,0.0,0.0,0.0,0.0,-0.0015187546678181452
2023-09-17,0.0,0.0,0.0,0.0,-0.00128325089759318
2023-09-18,0.0,0.0,0.0,0.0,0.0082947149120558
2023-09-19,0.0,0.0,0.0,0.0,0.017075277835148173
2023-09-20,0.0,0.0,0.0,0.0,-0.002907285180995145
2023-09-21,0.0,0.0,0.0,0.0,-0.0208010571665439
2023-09-22,0.0,0.0,0.0,0.0,0.0004492584180173509
2023-09-23,0.0,0.0,0.0,0.0,-6.730604790616823e-06
2023-09-24,0.0,0.0,0.0,0.0,-0.012135867563722202
2023-09-25,0.0,0.0,0.0,0.0,0.0015863975626226878
2023-09-26,0.0,0.0,0.0,0.0,-0.0030887799146727124
2023-09-27,0.0,0.0,0.0,0.0,0.00516714325836487
2023-09-28,0.0,0.0,0.0,0.0,0.0253798927117026
2023-09-29,0.0,0.0,0.0,0.0,-0.004064355121084939
2023-09-30,0.0,0.0,0.0,0.0,0.0020881123522147327
2023-10-01,-0.016858307141338957,-0.01715339719422304,-0.017350123896145764,-0.01784194065095246,0.037668245087253194
2023-10-02,-0.07153319709125028,-0.07153319709125028,-0.07153319709125028,-0.07153319709125028,-0.016186732866747766
2023-10-03,-0.00699114965965375,-0.00699114965965375,-0.00699114965965375,-0.00699114965965375,-0.003661569166498624
2023-10-04,0.03505751311241978,0.03505751311241978,0.03505751311241978,0.03505751311241978,0.013467566963576205
2023-10-05,-0.026647942170650474,-0.026647942170650474,-0.026647942170650474,-0.026647942170650474,-0.013794621292438136
2023-10-06,0.02372429708238788,0.02372429708238788,0.02372429708238788,0.02372429708238788,0.019356817241986235
2023-10-07,-0.01557889319660899,-0.01557889319660899,-0.01557889319660899,-0.01557889319660899,0.0007958783330954677
2023-10-08,-0.010679760645328717,-0.01127394697527151,-0.011670071195233223,-0.012660381745137839,-0.0012066746955251562
2023-10-09,-0.042290612309284104,-0.042290612309284104,-0.042290612309284104,-0.042290612309284104,-0.012579554638323831
2023-10-10,-0.02719274755071821,-0.02719274755071821,-0.02719274755071821,-0.02719274755071821,-0.006984531698880692
2023-10-11,0.007191443504408923,0.007191443504408923,0.007191443504408923,0.007191443504408923,-0.018900296732224375
2023-10-12,-0.0002068003497773807,-0.0002068003497773807,-0.0002068003497773807,-0.0002068003497773807,-0.004335991126913186
2023-10-13,0.01528383958969215,0.01528383958969215,0.01528383958969215,0.01528383958969215,0.0039457936735634025
2023-10-14,-0.012056338820442325,-0.012056338820442325,-0.012056338820442325,-0.012056338820442325,-2.4913770718226758e-05
2023-10-15,0.009681206755656424,0.00907479161646374,0.008670514857002098,0.007659822958347773,0.011091876069737827
2023-10-16,-0.010041767357570452,-0.010041767357570452,-0.010041767357570452,-0.010041767357570452,0.05006742040243539
2023-10-17,-0.017778540514262198,-0.017778540514262198,-0.017778540514262198,-0.017778540514262198,-0.0036367629488892605
2023-10-18,-0.009082236003965627,-0.009082236003965627,-0.009082236003965627,-0.009082236003965627,-0.003076005153366257
2023-10-19,0.018823757183743517,0.018823757183743517,0.018823757183743517,0.018823757183743517,0.013818845897595411
2023-10-20,0.016448087405859457,0.016448087405859457,0.016448087405859457,0.016448087405859457,0.03353585105136059
2023-10-21,-0.0023526076421087616,-0.0023526076421087616,-0.0023526076421087616,-0.0023526076421087616,0.007932580827966884
2023-10-22,-0.01288301066705222,-0.013475873723708731,-0.013871115761479591,-0.014859220855906963,0.0025230235241404664
2023-10-23,0.09692224496666646,0.09692224496666646,0.09692224496666646,0.09692224496666646,0.10309885685219577
2023-10-24,-0.05335621349767772,-0.05335621349767772,-0.05335621349767772,-0.05335621349767772,0.02464147537013317
2023-10-25,0.07666384948186833,0.07666384948186833,0.07666384948186833,0.07666384948186833,0.01773649711784664
