,btc_above_ma,tracked_total_mcap_above_ma,bull,tracked_total_market_cap,tracked_alt_market_cap
2020-09-12,True,False,False,4316896662100.862,4107744570278.8486
2020-09-13,True,False,False,4310628462557.203,4103791296835.7163
2020-09-14,True,False,False,4453146993199.882,4239384467010.762
2020-09-15,True,False,False,4311892223753.7925,4095959904759.1035
2020-09-16,True,False,False,4659035327086.513,4439691875200.699
2020-09-17,True,False,False,4523573669696.46,4304469637701.3613
2020-09-18,True,False,False,4702307669028.871,4483348770328.7295
2020-09-19,True,False,False,4528979540655.215,4307103562818.367
2020-09-20,True,False,False,4824532739370.088,4605894935573.548
2020-09-21,True,False,False,4205105085165.8535,3996550742335.2075
2020-09-22,True,False,False,3944373974109.077,3733485687711.6694
2020-09-23,False,False,False,3873401463595.8677,3668451431076.5303
2020-09-24,True,False,False,3797955911406.337,3582898796226.202
2020-09-25,True,False,False,3288658290418.006,3074579273553.9526
2020-09-26,True,False,False,3165145272594.657,2950263318287.746
2020-09-27,True,False,False,3406658931587.9175,3190831308749.4526
2020-09-28,True,False,False,3334318351978.412,3120141645393.064
2020-09-29,True,False,False,3425276138439.863,3208251015780.1123
2020-09-30,True,False,False,370612358871.46796,154825773723.30133
2020-10-01,True,False,False,364472919698.70337,151821814273.1709
2020-10-02,True,False,False,359724846895.04785,147997589960.8617
2020-10-03,True,False,False,358528709669.43585,147293905018.82755
2020-10-04,True,False,False,359948558936.5927,146241884043.04965
2020-10-05,True,False,False,363953791411.86426,147853117795.0254
2020-10-06,True,False,False,355780583342.4723,143507625219.24823
2020-10-07,True,False,False,358764239975.2131,145114617480.37723
2020-10-08,True,False,False,368048029181.9615,149259086574.8108
2020-10-09,True,False,False,374348301524.7427,152969380200.1406
2020-10-10,True,False,False,380593573897.1324,154354388754.24295
2020-10-11,True,False,False,385309013582.689,157589669015.0944
2020-10-12,True,False,False,396908232777.38837,165900868389.56348
2020-10-13,True,False,False,380733850166.32404,151977953596.95453
2020-10-14,True,False,False,370694537755.6128,141898404231.3656
2020-10-15,True,False,False,404724588349.5379,174346802186.04327
2020-10-16,True,False,False,383419606553.2334,156686367655.92517
2020-10-17,True,False,False,383494655130.2635,155932655072.78766
2020-10-18,True,False,False,380616257830.47284,150137979371.7115
2020-10-19,True,False,False,3993059013866.799,3757705257616.7617
2020-10-20,True,False,False,3889741756030.3247,3651086968009.4746
2020-10-21,True,False,False,4064944694830.0264,3808446919251.3936
2020-10-22,True,False,False,4067696878125.23,3807653045737.1265
2020-10-23,True,False,False,4105641948012.8096,3846660090976.08
2020-10-24,True,True,True,4221702842767.527,3958938912156.1484
2020-10-25,True,False,False,4093606061603.2603,3832542092289.501
2020-10-26,True,False,False,4150260612114.5337,3888631723961.6455
2020-10-27,True,True,True,4616877937178.626,4343706648123.7803
2020-10-28,True,True,True,4437019799592.078,4171056130240.574
2020-10-29,True,True,True,4378009569110.6934,4108518460048.244
2020-10-30,True,False,False,4178014105435.764,3906445688508.8076
2020-10-31,True,False,False,3902925507125.927,3626603524375.4585
2020-11-01,True,False,False,4067470556239.931,3791983139981.4287
2020-11-02,True,False,False,4064422770911.873,3792748456725.562
2020-11-03,True,False,False,4076127794965.1035,3795394360599.5107
2020-11-04,True,False,False,4055384499698.6484,3771969602593.818
2020-11-05,True,False,False,4065889253991.784,3753604041486.4185
2020-11-06,True,False,False,4141129477133.0303,3829030435612.92
2020-11-07,True,True,True,4253143815477.7,3956107808319.419
2020-11-08,True,False,False,3853264078144.5107,3543214318749.1914
2020-11-09,True,False,False,3621164776758.4585,3314182234391.1797
2020-11-10,True,False,False,3811199808690.566,3504643657934.6777
2020-11-11,True,False,False,3840021366320.777,3525590983624.021
2020-11-12,True,False,False,3773316766816.0103,3446886362924.5083
2020-11-13,True,False,False,3852698043831.808,3525740756033.649
2020-11-14,True,False,False,3859234408181.7065,3537419843621.399
2020-11-15,True,False,False,3628003882275.5625,3308416363103.3867
2020-11-16,True,False,False,3657495618252.025,3322758985660.3213
2020-11-17,True,False,False,4014308131530.136,3660352247376.748
2020-11-18,True,False,False,3884821986657.256,3528769576989.27
2020-11-19,True,False,False,3444052310651.241,3087231795531.187
2020-11-20,True,False,False,2903359677428.3306,2529560768820.726
2020-11-21,True,False,False,2928643779902.1313,2554218696195.7334
2020-11-22,True,False,False,3117274082983.3213,2748323427162.6973
2020-11-23,True,False,False,3210342390330.0684,2842289559099.626
2020-11-24,True,False,False,3426272717436.965,3042777303255.3994
2020-11-25,True,False,False,3499115042427.026,3124255559755.033
2020-11-26,True,False,False,3061136568103.7314,2717303581135.6953
2020-11-27,True,False,False,3059643027174.531,2716227623728.2603
2020-11-28,True,False,False,3166593311105.6343,2811469153973.807
2020-11-29,True,False,False,3248447833634.869,2884128631486.1387
2020-11-30,True,False,False,2765502794864.2505,2371403441693.4966
2020-12-01,True,False,False,2400977536644.6836,2024791435564.8574
2020-12-02,True,False,False,2377149946185.9155,1992272662852.5054
2020-12-03,True,False,False,2568355508979.077,2179029139465.7815
2020-12-04,True,False,False,2377053207702.075,2003410042133.7488
2020-12-05,True,False,False,2443795276206.8975,2060306267908.6956
2020-12-06,True,False,False,598766053838.4675,210830962118.2069
2020-12-07,True,False,False,2446965854658.958,2062984994628.7437
2020-12-08,True,False,False,2256443077320.135,1889635790036.2053
2020-12-09,True,False,False,2288288029042.046,1916948579278.3594
2020-12-10,True,False,False,3476844697261.43,3111499753039.101
2020-12-11,True,False,False,3584929066468.368,3223900286346.1294
2020-12-12,True,True,True,3813111202558.7153,3436465679531.405
2020-12-13,True,True,True,3887534141541.7393,3503800708756.4443
2020-12-14,True,True,True,3663058313051.9727,3277210138021.2646
