cycle_days,target_volatility,vol_window,stop_mode,offset_days,cost_bps,multiple,cagr,sharpe,max_drawdown,annualized_turnover,average_exposure,average_holdings
14,0.6,30,none,6,2.0,2.022950715166212,0.1608664798331163,0.5440232270736953,-0.6427544683027233,30.446398909654615,0.6992083246789651,0.9959420289855072
14,0.6,30,none,6,20.0,1.5606975660982039,0.09882581620715092,0.4572388325392861,-0.6566878418686894,30.446398909654615,0.6992083246789651,0.9959420289855072
14,0.6,30,own75,6,2.0,2.572926123567474,0.22150265269939107,0.624080834689973,-0.5670021405560637,28.409750227126786,0.5997295186816798,0.8672463768115942
14,0.6,30,own75,6,20.0,2.019825406056053,0.16048654408059781,0.5387694491708038,-0.6023612827186957,28.409750227126786,0.5997295186816798,0.8672463768115942
14,0.8,30,none,6,2.0,1.9561876965273397,0.15264758173613724,0.5591175981832701,-0.7370073517587139,35.959305214915936,0.8248513192509173,0.9959420289855072
14,0.8,30,none,6,20.0,1.4398264821759885,0.08023175937475524,0.47653755259216485,-0.7498846241575607,35.959305214915936,0.8248513192509173,0.9959420289855072
14,0.8,30,own75,6,2.0,2.752249905269364,0.23905152988634182,0.6447472572117718,-0.6833089479972622,33.66696204400926,0.7122211492906964,0.8672463768115942
14,0.8,30,own75,6,20.0,2.06583167817458,0.1660332484539062,0.563989672899133,-0.7136709741273946,33.66696204400926,0.7122211492906964,0.8672463768115942
14,0.3,30,none,7,2.0,2.108914843122429,0.17113992924631294,0.6343666297334342,-0.3945130671164828,18.447645239747203,0.42163560880832107,0.9953623188405797
14,0.3,30,none,7,20.0,1.8023272083099866,0.13282888587261032,0.5362288785791237,-0.42705311782308597,18.447645239747203,0.42163560880832107,0.9953623188405797
14,0.3,30,own75,7,2.0,2.3248547856443857,0.1955622763524545,0.7135272476207553,-0.35719401213029034,16.411456427980763,0.3577313641921137,0.8655072463768116
14,0.3,30,own75,7,20.0,2.0216451843641905,0.16070782613798462,0.6219264792078899,-0.38996485480047516,16.411456427980763,0.3577313641921137,0.8655072463768116
14,0.4,30,none,7,2.0,2.0426084628816854,0.16324567126489464,0.5619951324140818,-0.49382853678280325,23.216456218825723,0.5286890877098339,0.9953623188405797
14,0.4,30,none,7,20.0,1.6761161703232759,0.11554984568267557,0.4663698495200333,-0.5286472252491129,23.216456218825723,0.5286890877098339,0.9953623188405797
14,0.4,30,own75,7,2.0,2.4798267712604845,0.21200853739716696,0.6668455359587825,-0.45096769649542745,20.830499369434563,0.45163746683208983,0.8655072463768116
14,0.4,30,own75,7,20.0,2.076692643567881,0.16732846380690924,0.5768618716053817,-0.4867435530432448,20.830499369434563,0.45163746683208983,0.8655072463768116
14,0.5,30,none,7,2.0,1.7256662707346766,0.12245197962997367,0.47956034568306966,-0.5832792942739988,27.593353960040144,0.6274031313499531,0.9953623188405797
14,0.5,30,none,7,20.0,1.3641567487533783,0.06795524115841745,0.38534291619940025,-0.6179148894257191,27.593353960040144,0.6274031313499531,0.9953623188405797
14,0.5,30,own75,7,2.0,2.3468384845520016,0.19794690199031906,0.6064171128075994,-0.537826265630411,24.928299202649015,0.5392670849129523,0.8655072463768116
14,0.5,30,own75,7,20.0,1.8978366778251443,0.14528113858950387,0.5170313443257641,-0.5741746049295737,24.928299202649015,0.5392670849129523,0.8655072463768116
14,0.6,30,none,7,2.0,1.4260451195726909,0.07803440939366624,0.42454118691907106,-0.6615440870009188,31.306049533943902,0.7133790512334294,0.9953623188405797
