date,coin_id,symbol,name,price,volume_usd,market_cap,price_source,volume_source,market_cap_source,current_market_cap,current_rank
2022-05-24,uniswap,UNI,Uniswap,5.596,10344976.31,3545389045.16738,cryptocompare,cryptocompare,proxy_anchor,2058061102.0,44.0
2022-05-24,vechain,VET,VeChain,0.0316,2460684.43,2717112109.910109,cryptocompare,cryptocompare,proxy_anchor,614386926.0,89.0
2022-05-24,tezos,XTZ,Tezos,2.121,19254270.89,2295487812.241075,cryptocompare,cryptocompare,proxy_anchor,397157142.0,118.0
2022-05-24,decentraland,MANA,Decentraland,1.04,17581649.36,2010554869.562342,cryptocompare,cryptocompare,proxy_anchor,176437837.0,191.0
2022-05-24,the-graph,GRT,The Graph,0.1547,8126073.81,1670436682.4528494,cryptocompare,cryptocompare,proxy_anchor,268195477.0,149.0
2022-05-24,zcash,ZEC,Zcash,100.14,9896362.66,1667078942.224863,cryptocompare,cryptocompare,proxy_anchor,5349411156.0,22.0
2022-05-24,aave,AAVE,Aave,106.58,19346101.39,1617325431.3025866,cryptocompare,cryptocompare,proxy_anchor,1402388194.0,55.0
2022-05-24,theta-token,THETA,Theta Network,1.276,349056.47,1275896442.3219495,cryptocompare,cryptocompare,proxy_anchor,220108300.0,166.0
2022-05-24,immutable-x,IMX,Immutable,0.9565,37342648.65,805249154.624828,cryptocompare,cryptocompare,proxy_anchor,147508128.0,218.0
2022-05-24,neo,NEO,NEO,10.99,5057544.81,774824549.4817663,cryptocompare,cryptocompare,proxy_anchor,200841493.0,175.0
2022-05-24,okb,OKB,OKB,12.75,190554.88,267734056.91740227,cryptocompare,cryptocompare,proxy_anchor,1755418075.0,48.0
2022-05-24,injective-protocol,INJ,Injective,2.252,1010333.38,225200625.75196323,cryptocompare,cryptocompare,proxy_anchor,327154015.0,133.0
2022-05-24,whitebit,WBT,WhiteBIT Coin,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,11678412208.0,11.0
2022-05-24,sui,SUI,Sui,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,3736312381.0,29.0
2022-05-24,the-open-network,TON,Toncoin,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,3432102503.0,33.0
2022-05-24,world-liberty-financial,WLFI,World Liberty Financial,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,2514622744.0,37.0
2022-05-24,bittensor,TAO,Bittensor,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,2335646118.0,39.0
2022-05-24,sky,SKY,Sky,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,1842792529.0,45.0
2022-05-24,aster-2,ASTER,Aster,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,1666102901.0,50.0
2022-05-24,htx-dao,HTX,HTX DAO,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,1644315922.0,51.0
2022-05-24,bitget-token,BGB,Bitget Token,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,1329292631.0,58.0
2022-05-24,render-token,RENDER,Render,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,928908961.0,73.0
2022-05-24,arbitrum,ARB,Arbitrum,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,768404106.0,80.0
2022-05-24,optimism,OP,Optimism,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,263455782.0,152.0
2022-05-24,eos,EOS,EOS,1.348,4010212.64,0.0,cryptocompare,cryptocompare,proxy_anchor,0.0,
2022-05-24,maker,MKR,Maker,1293.14,3988298.37,0.0,cryptocompare,cryptocompare,proxy_anchor,0.0,
2022-05-24,fantom,FTM,Fantom,0.423,22237531.11,0.0,cryptocompare,cryptocompare,proxy_anchor,0.0,
2022-05-25,pepe,PEPE,Pepe,0.03807,20.08,16000384966280.21,cryptocompare,cryptocompare,proxy_anchor,1590073814.0,52.0
2022-05-25,bitcoin,BTC,Bitcoin,29508.27,800315804.06,590707924631.3893,cryptocompare,cryptocompare,proxy_anchor,1515152852412.0,1.0
2022-05-25,ethereum,ETH,Ethereum,1941.04,507595031.4,234296371427.9696,cryptocompare,cryptocompare,proxy_anchor,277796098715.0,2.0
2022-05-25,binancecoin,BNB,BNB,325.28,50769360.15,43837054634.51212,cryptocompare,cryptocompare,proxy_anchor,85130812268.0,5.0
2022-05-25,solana,SOL,Solana,47.92,171808990.6,27572388122.018097,cryptocompare,cryptocompare,proxy_anchor,49354817048.0,7.0
2022-05-25,ripple,XRP,XRP,0.4055,74567740.29,24966630418.537426,cryptocompare,cryptocompare,proxy_anchor,87944651031.0,4.0
2022-05-25,cardano,ADA,Cardano,0.5139,35879918.74,18993055526.08616,cryptocompare,cryptocompare,proxy_anchor,9185710657.0,15.0
2022-05-25,polkadot,DOT,Polkadot,9.863,22081026.63,16583082250.326822,cryptocompare,cryptocompare,proxy_anchor,2141346104.0,42.0
2022-05-25,dogecoin,DOGE,Dogecoin,0.08288,19077428.84,12758266708.258173,cryptocompare,cryptocompare,proxy_anchor,14599392802.0,10.0
2022-05-25,avalanche-2,AVAX,Avalanche,27.2,71261471.5,11726665428.660511,cryptocompare,cryptocompare,proxy_anchor,4039334038.0,27.0
2022-05-25,tron,TRX,TRON,0.08468,28940590.96,8029573440.946232,cryptocompare,cryptocompare,proxy_anchor,31410698540.0,8.0
2022-05-25,crypto-com-chain,CRO,Cronos,0.1838,3697690.3,8004142584.680298,cryptocompare,cryptocompare,proxy_anchor,3050555428.0,34.0
2022-05-25,near,NEAR,NEAR Protocol,5.744,1336540.16,7429693518.818017,cryptocompare,cryptocompare,proxy_anchor,1776627837.0,47.0
2022-05-25,shiba-inu,SHIB,Shiba Inu,1.16e-05,17706101.85,6828336247.153236,cryptocompare,cryptocompare,proxy_anchor,3580883262.0,32.0
2022-05-25,filecoin,FIL,Filecoin,8.17,3348427.5,6318042483.304812,cryptocompare,cryptocompare,proxy_anchor,718746194.0,83.0
2022-05-25,litecoin,LTC,Litecoin,68.18,26300187.98,5253301543.221178,cryptocompare,cryptocompare,proxy_anchor,4278871853.0,25.0
2022-05-25,chainlink,LINK,Chainlink,6.949,27476769.29,5050528848.26048,cryptocompare,cryptocompare,proxy_anchor,6830639644.0,19.0
2022-05-25,leo-token,LEO,LEO Token,4.91,232514.18,4521081216.650285,cryptocompare,cryptocompare,proxy_anchor,9536017417.0,14.0
