strategy,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,annualized_turnover,avg_turnover_per_rebalance,average_holdings,variant,frequency,top_k,stop_lookback,immediate_reentry,risk_on_fraction,total_return_delta_vs_momentum,cagr_delta_vs_momentum,sharpe_delta_vs_momentum,drawdown_improvement_vs_momentum
SECTOR_LEAD_V3_top2_biweekly_BTC18_reentry_0,1.156733390100634,0.25205891984218676,0.487875637324609,0.699078639303165,1.192087709663559,-0.6293921300221175,0.4004799358284463,0.2619047619047619,13.789144947050932,1.0249465690243935,0.4358974358974359,V3+STOP,biweekly,2.0,18.0,False,0.5584935897435898,-0.9843909363614842,-0.14553649511907985,-0.22115877813020002,-0.15155536457337726
SECTOR_LEAD_V3_top1_7D_BTC24_reentry_0,1.1528737817109143,0.25140318997633715,0.531183383900266,0.6725524291755762,1.286838047218402,-0.6642328602850234,0.37848652936029037,0.2619047619047619,16.963141025641026,1.0,0.14583333333333334,V3+STOP,7D,1.0,24.0,False,0.5608974358974359,-0.988250544751204,-0.14619222498492945,-0.24768498825778884,-0.18639609483628317
SECTOR_LEAD_V3_top1_7D_BTC24_reentry_1,1.135146551128806,0.24838068474228892,0.5579053768837023,0.6606142196839733,1.2674654694294272,-0.6492741455939777,0.3825513250878979,0.2619047619047619,21.642628205128204,1.0,0.16185897435897437,V3+STOP,7D,1.0,24.0,True,0.5608974358974359,-1.0059777753333123,-0.1492147302189777,-0.2596231977493918,-0.17143738014523746
TOP20_SECTOR_top4_biweekly__bull_only,1.118469714028032,0.2455210206323566,0.4649250352789706,0.7045334425678432,1.1306234339970354,-0.4855701520945451,0.505634499100248,0.2857142857142857,10.705834054283185,0.8134478477774988,2.636217948717949,BASELINE,biweekly,,,False,,-1.0226546124340863,-0.15207439432891,-0.21570397486552184,-0.007733386645804918
SECTOR_LEAD_V3_top2_7D_BTC14_reentry_0,1.03487607486854,0.23094164779437798,0.3426868260601009,0.7748785632377253,1.3162268711328229,-0.3980939676054417,0.5801184307903618,0.2619047619047619,16.378205128205128,1.0,0.2403846153846154,V3+STOP,7D,2.0,14.0,False,0.561698717948718,-1.1062482515935783,-0.16665376716688862,-0.14535885419563976,0.07974279784329852
SECTOR_LEAD_V3_top2_biweekly_BTC18_reentry_1,1.0043362195142764,0.22550959113774538,0.5217591185341102,0.6451874406892926,1.0950805905443177,-0.7183290490878882,0.31393633798339415,0.30952380952380953,30.466950674682113,1.062978877327461,0.5961538461538461,V3+STOP,biweekly,2.0,18.0,True,0.5584935897435898,-1.1367881069478418,-0.17208582382352122,-0.2750499767440725,-0.24049228363914799
SECTOR_LEAD_V3_top2_biweekly_BTC24_reentry_0,0.48377979748532085,0.12232870983835276,0.49871957643835746,0.47603085380506716,0.7852318568481147,-0.680246499217027,0.179829973368705,0.2619047619047619,13.204209049615034,1.0499428412819092,0.48717948717948717,V3+STOP,biweekly,2.0,24.0,False,0.5608974358974359,-1.6573445289767974,-0.27526670512291385,-0.4442065636282979,-0.20240973376828675
SECTOR_LEAD_V3_top2_7D_BTC14_reentry_1,0.3506238318691257,0.0918855805308274,0.38180605135110646,0.41915005427663893,0.6766995964605993,-0.45432739387695065,0.20224530100800736,0.23809523809523808,25.737179487179485,1.0,0.3060897435897436,V3+STOP,7D,2.0,14.0,True,0.561698717948718,-1.7905004945929925,-0.3057098344304392,-0.5010873631567261,0.02350937157178956
SECTOR_LEAD_V3_top2_biweekly_BTC24_reentry_1,0.3442591434966238,0.09037819793860624,0.5327193698578718,0.42390627956413063,0.7018761178231183,-0.7319367135863547,0.12347815905526827,0.23809523809523808,21.993792967192135,1.0742956408241011,0.6089743589743589,V3+STOP,biweekly,2.0,24.0,True,0.5608974358974359,-1.7968651829654945,-0.30721721702266036,-0.49633113786923444,-0.2540999481376145
SECTOR_LEAD_V3_top2_7D_BTC21_reentry_0,0.13767043347032848,0.03844385925832294,0.39268325283081024,0.29040188589960897,0.46260595080601874,-0.5434657815383759,0.07073832532657495,0.19047619047619047,16.963141025641026,1.0,0.28205128205128205,V3+STOP,7D,2.0,21.0,False,0.5488782051282052,-2.0034538929917898,-0.35915155570294366,-0.629835531533756,-0.06562901608963567
SECTOR_LEAD_V3_top2_7D_BTC18_reentry_0,0.014916966642165574,0.004339905497614982,0.3977728888037546,0.20804792090705213,0.32530260293013447,-0.6010295256691642,0.007220785855375558,0.23809523809523808,16.963141025641026,1.0,0.27884615384615385,V3+STOP,7D,2.0,18.0,False,0.5584935897435898,-2.1262073598199525,-0.3932555094636516,-0.7121894965263129,-0.12319276022042402
SECTOR_LEAD_V3_top2_7D_NO_STOP,-0.00614922583920674,-0.0018023775460783709,0.4658250296533261,0.22590086340582163,0.367354985630455,-0.6149557243373086,-0.0029309062014515877,0.23809523809523808,23.397435897435898,1.0,0.44871794871794873,V3,7D,2.0,,False,,-2.147273552301325,-0.399397792507345,-0.6943365540275435,-0.1371189588885684
SECTOR_LEAD_V3_top2_7D_BTC21_reentry_1,-0.020750606046553766,-0.006113971719038491,0.41670150592382754,0.1918514604781358,0.30104097507050914,-0.5855514728253322,-0.010441390727851975,0.21428571428571427,22.8125,1.0,0.3269230769230769,V3+STOP,7D,2.0,21.0,True,0.5488782051282052,-2.161874932508672,-0.4037093866803051,-0.7283859569552292,-0.10771470737659194
SECTOR_LEAD_V3_top2_7D_BTC18_reentry_1,-0.03167764238830173,-0.009370432734100431,0.40804411804263496,0.17916982540668366,0.2806689571180079,-0.5724489844209865,-0.016369026741445473,0.21428571428571427,22.227564102564102,1.0,0.3157051282051282,V3+STOP,7D,2.0,18.0,True,0.5584935897435898,-2.17280196885042,-0.40696584769536703,-0.7410675920266814,-0.09461221897224625
SECTOR_LEAD_V3_top2_7D_BTC24_reentry_0,-0.18987260024800312,-0.05972524227216802,0.39660467352569284,0.04203243473876264,0.06422502208839517,-0.611587899409098,-0.0976560234920821,0.21428571428571427,16.963141025641026,1.0,0.2916666666666667,V3+STOP,7D,2.0,24.0,False,0.5608974358974359,-2.3309969267101214,-0.4573206572334346,-0.8782049826946025,-0.13375113396035776
SECTOR_LEAD_V3_top2_7D_BTC24_reentry_1,-0.29019012716102854,-0.09538493386553626,0.41650145142826134,-0.03374528354102411,-0.05183390217196891,-0.6356408014629429,-0.15006106223201138,0.19047619047619047,21.642628205128204,1.0,0.32371794871794873,V3+STOP,7D,2.0,24.0,True,0.5608974358974359,-2.4313144536231466,-0.49298034882680286,-0.9539827009743892,-0.15780403601420268
