family,variant_id,cost_bps,multiple,cagr,sharpe,max_drawdown
trailing_grid,trailing_lb100_c2,2.0,2.908124399076283,0.25358769428000105,0.7198366406339388,-0.4880152839283043
trailing_grid,trailing_lb100_c2,20.0,2.5594237180880715,0.2201426679717695,0.6609210621907994,-0.5008648674742682
trailing_grid,trailing_lb200_c2,2.0,1.7400062230710425,0.12442030343825694,0.48352500614236454,-0.5607527049519614
trailing_grid,trailing_lb200_c2,20.0,1.4936240799648048,0.08865390769143233,0.4177450218575052,-0.575827368563439
trailing_confirm,trailing_lb11_c1,2.0,2.5477754828489463,0.21896488679551496,0.7703815802409689,-0.36689236991565866
trailing_confirm,trailing_lb11_c1,20.0,2.198309207229363,0.1814789505530887,0.6734450686651413,-0.3884849636899995
trailing_confirm,trailing_lb11_c2,2.0,6.371908255028081,0.4800537182884905,1.1891297291681497,-0.32692813922900366
trailing_confirm,trailing_lb11_c2,20.0,5.508519401879314,0.43512468950853234,1.1108263922883508,-0.34563342771098315
trailing_confirm,trailing_lb11_c3,2.0,5.81765433547142,0.4518110115734777,1.0719911706109624,-0.340708301055906
trailing_confirm,trailing_lb11_c3,20.0,5.016274168363176,0.4069626755105542,0.9997512675777687,-0.3456327315277634
trailing_confirm,trailing_lb11_c5,2.0,2.6614753025795275,0.2302846943388963,0.6929562277169323,-0.4166874478634328
trailing_confirm,trailing_lb11_c5,20.0,2.3029120803588903,0.19316430576438193,0.6217542933387058,-0.43886515353306343
