family,variant_id,offset_days,cost_bps,multiple,cagr,sharpe,max_drawdown,annualized_turnover,average_holdings
trailing_confirm,trailing_lb11_c3,0,2.0,23.625063443961228,0.9532881795088186,1.247112301607016,-0.44518559622099596,17.773913043478263,0.2944927536231884
trailing_confirm,trailing_lb11_c3,0,20.0,20.305542985333332,0.8916647011952483,1.2030807844144369,-0.4491724721746152,17.773913043478263,0.2944927536231884
trailing_confirm,trailing_lb11_c5,0,2.0,21.753458721044826,0.9194526319781156,1.2229297874142624,-0.6002797403347,16.081159420289854,0.3060869565217391
trailing_confirm,trailing_lb11_c5,0,20.0,18.968323340679305,0.8645772194680699,1.183239615144522,-0.6038650094984293,16.081159420289854,0.3060869565217391
core,no_overlay,1,2.0,2.052250584398226,0.164406072055177,0.6004440301404173,-0.8382754460490824,30.257971014492757,0.998840579710145
core,no_overlay,1,20.0,1.5856132113285208,0.10251663227991092,0.537600586556168,-0.8522242282076511,30.257971014492757,0.998840579710145
core,own_stop_only,1,2.0,2.081328604629942,0.16787969584301599,0.5925135184253647,-0.83222263163566,28.14202898550725,0.8301449275362319
core,own_stop_only,1,20.0,1.6374692295725823,0.11005394066427177,0.531238249969403,-0.8458557176309751,28.14202898550725,0.8301449275362319
core,btc_gate_only,1,2.0,1.6147163725748641,0.10677031040224949,0.4447358499179987,-0.5287862226229364,18.831884057971017,0.2852173913043478
core,btc_gate_only,1,20.0,1.3754088808175584,0.06981420915854364,0.3788347588345964,-0.5446500482492105,18.831884057971017,0.2852173913043478
core,full_current,1,2.0,2.1858844777707924,0.18006201725484705,0.5699680912942209,-0.4551413779166217,17.985507246376812,0.27014492753623187
core,full_current,1,20.0,1.8753966933971746,0.14240065772487753,0.5062594358238073,-0.4715835549295341,17.985507246376812,0.27014492753623187
core,own_stop_immediate_reentry,1,2.0,1.2121570420322234,0.04157568274031975,0.4585751365016574,-0.9022536073703742,32.79710144927537,0.88
core,own_stop_immediate_reentry,1,20.0,0.9165775135148312,-0.018273354466074254,0.38813744114637866,-0.9125913954433432,32.79710144927537,0.88
core,btc_gate_immediate_reentry,1,2.0,1.2178591433309016,0.04261110802363466,0.3679880280446916,-0.6709594621383861,43.3768115942029,0.5223188405797101
core,btc_gate_immediate_reentry,1,20.0,0.8415860642468275,-0.03585558176094583,0.24291220794401916,-0.7320856174098177,43.3768115942029,0.5223188405797101
core,full_immediate_reentry,1,2.0,1.2875520468814423,0.054967464157247514,0.38428639843076756,-0.6793364873713542,40.41449275362319,0.48927536231884056
core,full_immediate_reentry,1,20.0,0.9125073221041399,-0.019197953183964,0.26638873639131433,-0.7183644696018188,40.41449275362319,0.48927536231884056
gate,gate_trailing11,1,2.0,2.1858844777707924,0.18006201725484705,0.5699680912942209,-0.4551413779166217,17.985507246376812,0.27014492753623187
gate,gate_trailing11,1,20.0,1.8753966933971746,0.14240065772487753,0.5062594358238073,-0.4715835549295341,17.985507246376812,0.27014492753623187
gate,gate_ma20,1,2.0,0.9240149501891579,-0.01659216841724631,0.19924558945608076,-0.599612196891941,17.139130434782608,0.25971014492753625
gate,gate_ma20,1,20.0,0.7984943523921755,-0.046525033476268574,0.1359981592673089,-0.6314698589127117,17.139130434782608,0.25971014492753625
gate,gate_ma50,1,2.0,5.737331841511424,0.4475439253003697,0.9128556885792092,-0.41369034941425586,16.292753623188407,0.3391304347826087
gate,gate_ma50,1,20.0,4.9936447606024945,0.40561649377610376,0.8623344191893412,-0.42624161949798534,16.292753623188407,0.3391304347826087
gate,gate_ma65,1,2.0,4.845385278234491,0.39667581214650527,0.8471343932164325,-0.5671819897583422,15.869565217391305,0.3646376811594203
gate,gate_ma65,1,20.0,4.232490497890846,0.35725354399261877,0.7988489764959742,-0.5794910610518342,15.869565217391305,0.3646376811594203
