family,variant_id,cost_bps,phase_median_multiple,phase_min_multiple,phase_max_multiple,phase_median_sharpe,phase_worst_drawdown,phase_median_turnover,phase_median_holdings
stop_grid,stop_ma150_c3,20.0,2.817724530564067,0.4879847270392251,18.850302389713665,0.6426682648393672,-0.777847375469371,15.657971014492754,0.23246376811594202
stop_grid,stop_ma200_c1,2.0,4.286990183523364,0.6116292100251464,13.56660465273239,0.8062556726005508,-0.7702273689298393,15.234782608695653,0.22666666666666666
stop_grid,stop_ma200_c1,20.0,3.738193250869377,0.5391294116129405,11.872688270891723,0.7549663890335496,-0.7838849465840122,15.234782608695653,0.22666666666666666
stop_grid,stop_ma200_c2,2.0,4.113793529302105,0.5638874996980187,13.241168483966568,0.8038388668701735,-0.8085724359169133,15.234782608695653,0.22956521739130434
stop_grid,stop_ma200_c2,20.0,3.5871682808632714,0.4970467906782705,11.546198651128496,0.7453339500515851,-0.8199508007353741,15.234782608695653,0.22956521739130434
stop_grid,stop_ma200_c3,2.0,3.740499473044412,0.5595744151408589,12.155531308800214,0.8038388668701735,-0.8113471810773898,15.234782608695653,0.23130434782608697
stop_grid,stop_ma200_c3,20.0,3.314781321016273,0.4932449599262,10.56139966573306,0.7453339500515851,-0.8225606163421291,15.234782608695653,0.23130434782608697
stop_grid,stop_ma20_c1,2.0,3.6599452106371335,0.468176697209259,9.483298725755201,0.7522122815549154,-0.7345614023312202,17.35072463768116,0.21797101449275363
stop_grid,stop_ma20_c1,20.0,3.134500138761732,0.4053177247906367,8.195258229561553,0.6963843342531438,-0.7547955554915922,17.35072463768116,0.21797101449275363
stop_grid,stop_ma20_c2,2.0,3.953198355479013,0.47182780254110734,15.062329032930176,0.7367836423356579,-0.7335138213630492,17.773913043478263,0.23478260869565218
stop_grid,stop_ma20_c2,20.0,3.3612827271709036,0.40700589073095683,13.016430035038562,0.68570243450417,-0.7538288094968992,17.773913043478263,0.23478260869565218
stop_grid,stop_ma20_c3,2.0,3.568394032746026,0.47476159982493793,22.990722501147882,0.7311876946389164,-0.736289610690644,17.773913043478263,0.24695652173913044
stop_grid,stop_ma20_c3,20.0,3.0231683563792995,0.4110152478731561,19.79644443039924,0.6749923483206705,-0.7528537875454213,17.773913043478263,0.24695652173913044
stop_grid,stop_ma50_c1,2.0,4.281696380265572,0.7075589947798823,25.25012355844876,0.787206378278789,-0.7455338450815523,17.139130434782608,0.2608695652173913
stop_grid,stop_ma50_c1,20.0,3.6669012663924363,0.6125451396227346,21.82034127442034,0.7341378878628465,-0.7554254315523823,17.139130434782608,0.2608695652173913
stop_grid,stop_ma50_c2,2.0,4.3211928064938805,0.6936715368031402,24.836978801067726,0.8112019151393931,-0.7428571873832319,17.139130434782608,0.26492753623188403
stop_grid,stop_ma50_c2,20.0,3.687413241470124,0.6005225451138272,21.463229579620172,0.7630736802729551,-0.7528538033268816,17.139130434782608,0.26492753623188403
