signal_name,phase_offset,selected_asset,days
weighted_multi_horizon,2,bitget-token,24
weighted_multi_horizon,2,okb,23
weighted_multi_horizon,2,ethereum,18
weighted_multi_horizon,2,near,18
weighted_multi_horizon,2,terra-luna,17
weighted_multi_horizon,2,the-open-network,17
weighted_multi_horizon,2,bitcoin,15
weighted_multi_horizon,2,dogecoin,15
weighted_multi_horizon,2,immutable-x,15
weighted_multi_horizon,2,matic-network,9
weighted_multi_horizon,2,kaspa,7
weighted_multi_horizon,2,filecoin,6
weighted_multi_horizon,2,mantle,6
weighted_multi_horizon,2,uniswap,6
weighted_multi_horizon,2,bittensor,5
weighted_multi_horizon,2,chainlink,5
weighted_multi_horizon,2,crypto-com-chain,4
weighted_multi_horizon,2,litecoin,4
weighted_multi_horizon,2,binancecoin,3
