date,primary,rebalance_1d,rebalance_2d,rebalance_5d,hold_rank_1,hold_rank_3,target_vol_0.6,target_vol_0.7,target_vol_0.9,target_vol_1.0,btc_ma_50,btc_ma_150,btc_ma_200,no_btc_gate,no_vol_target,fixed_stop_15,fixed_stop_20,fixed_stop_25,fixed_stop_30,fixed_stop_40,trailing_stop_15,trailing_stop_20,trailing_stop_25,trailing_stop_30,trailing_stop_40
2024-12-18,-0.014184165378872016,-0.013169979750234151,-0.014312981258551294,-0.01405996561241174,-0.01894700689089468,-0.021990861399693307,-0.010615362220203872,-0.012397852761684036,-0.015974312378095323,-0.01776830611856961,-0.014184165378872016,-0.014184165378872016,-0.014184165378872016,-0.014184165378872016,-0.04322276319688301,-0.014131100240275196,-0.014183654640351095,-0.014184165378872016,-0.014184165378872016,-0.014184165378872016,-0.014149025003515447,-0.014182633164247616,-0.014182633164247616,-0.014184165378872016,-0.014184165378872016
2024-12-19,-0.0038837990110572873,-0.0036023964406450837,-0.003919582553106538,-0.003849306625011706,-0.004858315673442526,-0.013682529766060991,-0.0028961323542436856,-0.003388544544675187,-0.004381920433674358,-0.0048829337793816485,-0.0038837990110572873,-0.0038837990110572873,-0.0038837990110572873,-0.0038837990110572873,-0.012194119412432203,-0.003166592144782321,-0.0038836571524929475,-0.0038837990110572873,-0.0038837990110572873,-0.0038837990110572873,-0.0028853919002416184,-0.003883373436065818,-0.003883373436065818,-0.0038837990110572873,-0.0038837990110572873
2024-12-20,0.002401978541174188,0.0022273127875271914,0.0024241963538820244,0.0023805639112803867,0.0028998459014157874,0.0030077629103624215,0.0017893709586636053,0.002094641502462302,0.0027114031294230845,0.003022936608829685,0.002401978541174188,0.002401978541174188,0.002401978541174188,0.002401978541174188,0.007605034985368464,0.0018718815433818037,0.0024018904651157413,0.002401978541174188,0.002401978541174188,0.002401978541174188,0.0016629398439989007,0.002401714313509551,0.002401714313509551,0.002401978541174188,0.002401978541174188
2024-12-21,-0.019199702164405363,-0.01780665154827199,-0.019376866022345896,-0.0190289354178258,-0.021164993410598965,-0.018092079042689946,-0.01431170081592903,-0.01674820423290957,-0.021666333454526288,-0.024148238666888755,-0.019199702164405363,-0.019199702164405363,-0.019199702164405363,-0.019199702164405363,-0.06047531944089324,-0.020171686581602066,-0.019198999834173947,-0.019199702164405363,-0.019199702164405363,-0.019199702164405363,-0.020214694338834494,-0.019197595177414484,-0.019197595177414484,-0.019199702164405363,-0.019199702164405363
2024-12-22,0.013020474104348922,0.012058635476869917,0.01314299362834137,0.012902420455907837,0.014272687580972665,0.006290623729450662,0.009657496135453858,0.011329647435218249,0.014730290762672738,0.016459419137034192,0.013020474104348922,0.013020474104348922,0.013020474104348922,0.013020474104348922,0.04281371101699882,0.012954288959706295,0.00681096873184428,0.013020474104348922,0.013020474104348922,0.013020474104348922,0.004289440120484711,0.006809946016945068,0.01301901726172816,0.013020474104348922,0.013020474104348922
2024-12-23,0.031085316011943753,0.028816365476519223,0.03137402682117241,0.03080706273148892,0.03403280459213143,0.022218492952583935,0.0231332781935929,0.027093827910689816,0.03510810643806872,0.0391625688604913,0.031085316011943753,0.031085316011943753,0.031085316011943753,0.031085316011943753,0.09929396476154762,0.03099597043104274,0.02445501704410402,0.031085316011943753,0.031085316011943753,0.031085316011943753,0.021588958726284524,0.02445264887786358,0.031081882618853918,0.031085316011943753,0.031085316011943753
2024-12-24,0.0379554252972476,0.028465770578915084,0.03561715199504656,0.039756012351741976,0.03943057558805507,0.033009972717704006,0.028467727666707354,0.03321167309442674,0.04269898422833274,0.04744234984084028,0.0379554252972476,0.0379554252972476,0.0379554252972476,0.0379554252972476,0.11532964657353095,0.03756325327304788,0.03744140366095805,0.0379554252972476,0.0379554252972476,0.0379554252972476,0.02328842478308668,0.03743834506075938,0.03795084080010258,0.0379554252972476,0.0379554252972476
2024-12-25,-0.0155911264918549,-0.01625697036917695,-0.01561085994847744,-0.015553423317078763,-0.016142734244995127,-0.017790280466827624,-0.011697879716951576,-0.013644866123726174,-0.017536673054986518,-0.019481517824196715,-0.0155911264918549,-0.0155911264918549,-0.0155911264918549,-0.0155911264918549,-0.04297081215984311,-0.015449837049547832,-0.015410625872578243,-0.0155911264918549,-0.0155911264918549,-0.0155911264918549,-0.015407362988818063,-0.015409512385905266,-0.01558945633384523,-0.0155911264918549,-0.0155911264918549
2024-12-26,-0.014856457219016073,-0.03387988772146522,-0.032186134647554265,-0.021225619490872094,0.03664869246105207,0.004014163292184181,-0.011141823636060866,-0.012999097106514368,-0.01671390401529438,-0.01857143753740398,-0.014856457219016073,-0.014856457219016073,-0.014856457219016073,-0.014856457219016073,-0.05878116177838333,-0.01461340875612549,-0.014551999245989933,-0.014856457219016073,-0.014856457219016073,-0.014856457219016073,-0.014514346866361771,-0.014549788411281295,-0.014853140944629417,-0.014856457219016073,-0.014856457219016073
2024-12-27,-0.005615814616171444,-0.01279648882802431,-0.012406803232603902,-0.003364063564970432,0.04185466268798166,0.01624300284965674,-0.004213382140908162,-0.004914726113084411,-0.00631664680506594,-0.0070172218283368615,-0.005615814616171444,-0.005615814616171444,-0.005615814616171444,-0.005615814616171444,-0.015517202416836406,-0.005536358988065371,-0.005516331415475029,-0.005615814616171444,-0.005615814616171444,-0.005615814616171444,-0.0055039816553515974,-0.005515606276559004,-0.0056147269498937336,-0.005615814616171444,-0.005615814616171444
2024-12-28,0.014953067273869136,0.02085898478063375,0.01961927580261169,0.011257611769638354,-0.048625467860176075,-0.01947663294159152,0.011199252115984715,0.013074857708327281,0.016833886239166818,0.018717320045865682,0.014953067273869136,0.014953067273869136,0.014953067273869136,0.014953067273869136,0.04270067763418317,0.014783748644917827,0.014741075300192197,0.014953067273869136,0.014953067273869136,0.014953067273869136,-0.0011047482083285098,0.014739530263503164,0.01495074925761486,0.014953067273869136,0.014953067273869136
2024-12-29,-0.024243422753268185,-0.016914354526925912,-0.01593091099614885,-0.028688879701244785,-0.0958024029356932,-0.07133650871005659,-0.018224763014696332,-0.021237580685247948,-0.02724231341675265,-0.03023427676190371,-0.0008286004900709409,-0.024243422753268185,-0.024243422753268185,-0.024243422753268185,-0.058845929421523224,-0.02410855500230913,-0.02407455720531937,-0.024243422753268185,-0.024243422753268185,-0.024243422753268185,-0.03532889564540209,-0.024073326223004954,-0.024241576682335397,-0.024243422753268185,-0.024243422753268185
2024-12-30,0.0017106694084478846,0.0018394873866929284,0.0020727729419911523,0.001345508999870626,0.006609417912368354,0.0051494343324982594,0.0012479197896859695,0.0014586953955246784,0.0019262337823549025,0.002142191003477345,0.0,0.0017106694084478846,0.0017106694084478846,0.0017106694084478846,0.0019118809474563125,0.0017189243632589335,0.0017210051499352286,0.0017106694084478846,0.0017106694084478846,0.0017106694084478846,0.003521353920621806,0.001091982461090879,0.0017107824084483525,0.0017106694084478846,0.0017106694084478846
