candidate,train_percentile,test_percentile,train_sharpe,test_sharpe
primary,0.53125,0.84375,0.04786708096492267,0.09032254085547999
parameter_ensemble_20bps,0.25,0.46875,0.0449371403018355,0.08298444291251007
primary,0.46875,0.875,0.03807292273153898,0.09965220260498804
parameter_ensemble_20bps,0.25,0.5,0.03307745149628492,0.09438674572155026
primary,0.4375,0.875,0.025256665974322776,0.10431719998324464
parameter_ensemble_20bps,0.25,0.5,0.02138511517784766,0.09806358986569842
primary,0.5,0.84375,0.05328014003455836,0.08666963897884337
parameter_ensemble_20bps,0.25,0.5,0.04841005348427034,0.08058460892646524
primary,0.6875,0.78125,0.03557489610563851,0.09903042571873462
parameter_ensemble_20bps,0.25,0.5,0.029048972775298304,0.09456729299731349
primary,0.78125,0.78125,0.0213825156242617,0.1038856812310935
parameter_ensemble_20bps,0.34375,0.46875,0.015677189860239884,0.09843753756797384
primary,0.84375,0.78125,0.05223840791673801,0.08675346433464887
parameter_ensemble_20bps,0.4375,0.46875,0.04585883592281027,0.08159114292891406
primary,0.5625,0.8125,0.011513715874550315,0.11264224341087094
parameter_ensemble_20bps,0.21875,0.5,0.0035672609130878814,0.1090920430231476
primary,0.625,0.75,0.04150710079925935,0.09557366898683899
parameter_ensemble_20bps,0.25,0.5625,0.032954206188153264,0.09234018094089433
primary,0.71875,0.78125,0.028870226766120805,0.10062516620669663
parameter_ensemble_20bps,0.25,0.46875,0.02063549130453781,0.0963316002400174
primary,0.53125,0.90625,0.06182290694477739,0.08013207297623168
parameter_ensemble_20bps,0.28125,0.46875,0.058696991768958456,0.07253356127239766
primary,0.5,0.90625,0.0529215604087736,0.08629093157811218
parameter_ensemble_20bps,0.28125,0.4375,0.05117110724102583,0.07798809598934993
primary,0.75,0.875,0.07735058781191978,0.06733952630186886
parameter_ensemble_20bps,0.46875,0.4375,0.07467350120190643,0.05912174628902202
primary,0.4375,0.875,0.0421558854182674,0.09509925984479536
parameter_ensemble_20bps,0.25,0.46875,0.03820419864212468,0.08874519715039471
primary,0.5,0.84375,0.06649631349133772,0.07613361862657493
parameter_ensemble_20bps,0.25,0.46875,0.06169007461924954,0.0698891279152233
primary,0.5,0.84375,0.05829352666468591,0.08260158690558471
parameter_ensemble_20bps,0.21875,0.46875,0.054594262826491706,0.0755544538229328
primary,0.71875,0.84375,0.040093162445902795,0.09482508068127553
parameter_ensemble_20bps,0.28125,0.46875,0.034629675138245615,0.08933885419985615
primary,0.84375,0.78125,0.06616362609427918,0.07651176413170138
parameter_ensemble_20bps,0.46875,0.5,0.06007062579953923,0.07128442580228879
primary,0.8125,0.75,0.057997970026250185,0.0829629677167664
parameter_ensemble_20bps,0.4375,0.4375,0.052858099113220064,0.07687913433556609
primary,0.6875,0.78125,0.04605265322589325,0.09132025567852245
parameter_ensemble_20bps,0.25,0.46875,0.038539617854241384,0.0870678044784919
