candidate,train_percentile,test_percentile,train_sharpe,test_sharpe
parameter_ensemble_20bps,0.4375,0.46875,0.06352211628305605,0.06869777932074682
primary,0.875,0.65625,0.06298140144017667,0.07994318941321235
parameter_ensemble_20bps,0.40625,0.28125,0.05705105825853903,0.07449923572512926
primary,0.78125,0.8125,0.050410462941048645,0.08811364492384707
parameter_ensemble_20bps,0.375,0.46875,0.04173436814495491,0.08439109671986329
primary,0.8125,0.78125,0.05637893365634198,0.08681898860536401
parameter_ensemble_20bps,0.46875,0.40625,0.051731328991796,0.08025776304446781
primary,0.75,0.84375,0.0776563701067206,0.0646917053515711
parameter_ensemble_20bps,0.5,0.4375,0.0759900156742475,0.05434806570348337
primary,0.8125,0.65625,0.07741656392953847,0.06522942238928746
parameter_ensemble_20bps,0.53125,0.21875,0.07490841339547201,0.056423484100805124
primary,0.84375,0.8125,0.06834186039943171,0.0756360545596728
parameter_ensemble_20bps,0.5,0.375,0.06378109022398952,0.06887892033332965
primary,0.8125,0.75,0.06045793375419541,0.08197297203605694
parameter_ensemble_20bps,0.46875,0.3125,0.056928181969985815,0.07443095173589398
primary,0.84375,0.625,0.08142125862950934,0.06057993384155922
parameter_ensemble_20bps,0.5,0.25,0.07748449568123116,0.0533476813198035
primary,0.71875,0.8125,0.07742137144008394,0.0655591739328699
parameter_ensemble_20bps,0.5,0.46875,0.07261948938530452,0.05926534598157425
primary,0.84375,0.5625,0.07762187652811912,0.06637813136554066
parameter_ensemble_20bps,0.46875,0.25,0.07171435571149208,0.06121674976899055
primary,0.875,0.8125,0.06731100718476937,0.07551261436922299
parameter_ensemble_20bps,0.4375,0.46875,0.05923743424268227,0.07232411400706566
primary,0.9375,0.71875,0.05922005409106849,0.08201230219867023
parameter_ensemble_20bps,0.40625,0.40625,0.05178612336830269,0.07775019263637577
primary,0.9375,0.625,0.08179263273975707,0.06201984044219333
parameter_ensemble_20bps,0.4375,0.28125,0.07447963416206017,0.05841716067205014
primary,0.75,0.90625,0.09833989146687551,0.043830471659661044
parameter_ensemble_20bps,0.5,0.3125,0.09566353402200836,0.03527502762174823
primary,0.6875,0.90625,0.0881205442097059,0.05277146507734082
parameter_ensemble_20bps,0.34375,0.40625,0.08334948574782998,0.04621903851787191
primary,0.65625,0.9375,0.08234502771311959,0.06149006356924703
parameter_ensemble_20bps,0.46875,0.46875,0.07868884614278798,0.054225840570437445
primary,0.71875,0.875,0.10184115421621169,0.03858329422324149
parameter_ensemble_20bps,0.5,0.40625,0.0979112714459702,0.03182383946950154
primary,0.84375,0.625,0.08859507784083051,0.054178842612624185
parameter_ensemble_20bps,0.46875,0.25,0.08283111314226423,0.04891877535387778
primary,0.78125,0.5,0.0831412902678636,0.06261158553699123
parameter_ensemble_20bps,0.4375,0.25,0.07847187939082151,0.05651294904204454
primary,0.8125,0.46875,0.10331579815597547,0.04092146367493878
parameter_ensemble_20bps,0.46875,0.28125,0.09857726428785721,0.03548195869295977
primary,0.8125,0.84375,0.07194446221620275,0.07118654661295903
parameter_ensemble_20bps,0.5,0.4375,0.06492583079636617,0.0669552984279393
primary,0.84375,0.71875,0.09235326936862016,0.04927664864864809
parameter_ensemble_20bps,0.4375,0.3125,0.08530372679260924,0.04576061526359501
primary,0.84375,0.59375,0.08719553352271375,0.05824723748264902
parameter_ensemble_20bps,0.46875,0.25,0.08113864152078222,0.05369814451476066
primary,0.5625,0.84375,0.03394996581438887,0.1066831167960032
parameter_ensemble_20bps,0.25,0.5,0.030362108106293428,0.09959534981677601
primary,0.84375,0.78125,0.031114552622186372,0.10538149643704083
parameter_ensemble_20bps,0.40625,0.5,0.026205848161521408,0.09925487070476266
primary,0.6875,0.8125,0.02306656556620916,0.11605182154464809
parameter_ensemble_20bps,0.25,0.5,0.016063190764297144,0.11196164670999172
primary,0.625,0.78125,0.008703656054867575,0.1191795692941844
parameter_ensemble_20bps,0.15625,0.5,0.002218850566628174,0.11396634798768912
primary,0.84375,0.71875,0.036849051738780315,0.10200825645105877
parameter_ensemble_20bps,0.375,0.53125,0.029977987844935425,0.0970631516451536
primary,0.625,0.875,0.056278067785947836,0.08624576445814351
parameter_ensemble_20bps,0.3125,0.46875,0.0547662952413088,0.07689282651992299
primary,0.5,0.90625,0.047762221022089574,0.09717062420684569
parameter_ensemble_20bps,0.25,0.5,0.04419031174614418,0.0899291157383889
primary,0.5,0.875,0.037456838693508694,0.10151596500690073
