tranches,shift_days,offsets,cost_bps,multiple,cagr,sharpe,max_drawdown
7,13,"13,16,19,1,4,7,10",20.0,4.124210889836591,0.3498269142102799,0.9774999901602298,-0.4009580847598615
7,14,"14,17,20,2,5,8,11",20.0,5.05795966131263,0.40942998761559624,1.0524402041000693,-0.3429589514776623
7,15,"15,18,0,3,6,9,12",20.0,7.523391820102614,0.533033412113596,1.1929030255403594,-0.34189917234449274
7,16,"16,19,1,4,7,10,13",20.0,4.124210889836591,0.3498269142102799,0.9774999901602298,-0.4009580847598615
7,17,"17,20,2,5,8,11,14",20.0,5.05795966131263,0.40942998761559624,1.0524402041000693,-0.3429589514776623
7,18,"18,0,3,6,9,12,15",20.0,7.523391820102614,0.533033412113596,1.1929030255403594,-0.34189917234449274
7,19,"19,1,4,7,10,13,16",20.0,4.124210889836591,0.3498269142102799,0.9774999901602298,-0.4009580847598615
7,20,"20,2,5,8,11,14,17",20.0,5.05795966131263,0.40942998761559624,1.0524402041000693,-0.3429589514776623
21,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",20.0,5.508519401879314,0.43512468950853234,1.1108263922883508,-0.34563342771098315
21,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0",20.0,5.508519401879314,0.43512468950853234,1.110826392288351,-0.34563342771098315
21,2,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0,1",20.0,5.508519401879325,0.4351246895085328,1.1108263922883508,-0.3456334277109828
21,3,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0,1,2",20.0,5.508519401879314,0.43512468950853234,1.1108263922883508,-0.34563342771098315
21,4,"4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0,1,2,3",20.0,5.508519401879325,0.4351246895085328,1.1108263922883508,-0.3456334277109828
21,5,"5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0,1,2,3,4",20.0,5.508519401879314,0.43512468950853234,1.1108263922883508,-0.34563342771098315
21,6,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0,1,2,3,4,5",20.0,5.508519401879316,0.43512468950853234,1.1108263922883508,-0.34563342771098315
21,7,"7,8,9,10,11,12,13,14,15,16,17,18,19,20,0,1,2,3,4,5,6",20.0,5.508519401879316,0.43512468950853234,1.110826392288351,-0.34563342771098315
21,8,"8,9,10,11,12,13,14,15,16,17,18,19,20,0,1,2,3,4,5,6,7",20.0,5.508519401879316,0.43512468950853234,1.110826392288351,-0.34563342771098315
21,9,"9,10,11,12,13,14,15,16,17,18,19,20,0,1,2,3,4,5,6,7,8",20.0,5.508519401879314,0.43512468950853234,1.110826392288351,-0.34563342771098315
21,10,"10,11,12,13,14,15,16,17,18,19,20,0,1,2,3,4,5,6,7,8,9",20.0,5.508519401879314,0.43512468950853234,1.1108263922883512,-0.34563342771098315
21,11,"11,12,13,14,15,16,17,18,19,20,0,1,2,3,4,5,6,7,8,9,10",20.0,5.508519401879314,0.43512468950853234,1.1108263922883512,-0.34563342771098315
21,12,"12,13,14,15,16,17,18,19,20,0,1,2,3,4,5,6,7,8,9,10,11",20.0,5.508519401879314,0.43512468950853234,1.110826392288351,-0.34563342771098315
21,13,"13,14,15,16,17,18,19,20,0,1,2,3,4,5,6,7,8,9,10,11,12",20.0,5.508519401879325,0.4351246895085328,1.1108263922883512,-0.34563342771098315
21,14,"14,15,16,17,18,19,20,0,1,2,3,4,5,6,7,8,9,10,11,12,13",20.0,5.508519401879314,0.43512468950853234,1.1108263922883508,-0.34563342771098315
21,15,"15,16,17,18,19,20,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",20.0,5.508519401879314,0.43512468950853234,1.110826392288351,-0.34563342771098315
