,btc_above_ma,tracked_total_mcap_above_ma,bull,tracked_total_market_cap,tracked_alt_market_cap
2023-05-09,True,False,False,28437626284364.67,27883513169551.062
2023-05-10,True,False,False,22112497205516.08,21559414637188.59
2023-05-11,True,False,False,27845990697082.168,27305662042347.78
2023-05-12,True,False,False,962206204340.0107,425571542284.02203
2023-05-13,True,False,False,959312212484.292,423042085228.4639
2023-05-14,True,False,False,964409098598.1835,425285150303.86523
2023-05-15,True,False,False,972303561614.6295,428278511995.5808
2023-05-16,True,False,False,971047967879.5627,429819486716.44196
2023-05-17,True,False,False,981899003055.7675,433270925872.2515
2023-05-18,True,False,False,964511585345.351,427552225076.369
2023-05-19,True,False,False,967736522008.0238,429473764658.4015
2023-05-20,True,False,False,973653051522.213,430783663298.7314
2023-05-21,True,False,False,960648511623.2316,425053204142.9893
2023-05-22,True,False,False,965714376224.7725,428112625964.73303
2023-05-23,True,False,False,980197795921.628,435203255892.2673
2023-05-24,True,False,False,949302304128.233,422294884032.3365
2023-05-25,True,False,False,952668441986.2975,422577389786.24097
2023-05-26,True,False,False,962291837270.7793,427406581924.6227
2023-05-27,True,False,False,968280626389.3026,430334760082.32404
2023-05-28,True,False,False,1007084881219.6223,445017260739.24316
2023-05-29,True,False,False,997128190859.4243,441696665176.03955
2023-05-30,True,False,False,998793974665.3569,444213430550.05725
2023-05-31,True,False,False,982208967592.4408,437305110849.4462
2023-06-01,True,False,False,970649400109.104,433641595347.18475
2023-06-02,True,False,False,990067343972.7682,444543517830.48883
2023-06-03,True,False,False,984162114089.8308,442098265699.3237
2023-06-04,True,False,False,985798647360.4973,442795135954.08997
2023-06-05,False,False,False,933788782868.4723,418506331350.3965
2023-06-06,True,False,False,978951730273.7982,433069975398.57684
2023-06-07,False,False,False,943522783925.2324,416060145742.80896
2023-06-08,True,False,False,949490223875.1389,418821040701.5162
2023-06-09,False,False,False,946489394919.3112,416326276531.41394
2023-06-10,False,False,False,905406876357.3656,387807897267.92267
2023-06-11,False,False,False,907119993993.6376,387891518323.5752
2023-06-12,False,False,False,905320905609.5762,386731817172.74457
2023-06-13,False,False,False,907801474640.0773,388745957820.8325
2023-06-14,False,False,False,874251304091.3428,371274754698.6255
2023-06-15,False,False,False,885194621968.1149,373237224283.46515
2023-06-16,False,False,False,908387085988.0808,381291184628.2243
2023-06-17,False,False,False,915682447817.8157,384986440007.6078
2023-06-18,False,False,False,910846983748.044,383602746151.5487
2023-06-19,True,False,False,924190393788.2783,386855088239.3943
2023-06-20,True,False,False,965049618391.249,398141952661.949
2023-06-21,True,False,False,1016446953133.0491,415884377682.1593
2023-06-22,True,False,False,1010090973110.3855,411685178514.48267
2023-06-23,True,False,False,1035438081725.3489,420765747430.67773
2023-06-24,True,False,False,1027100468332.9316,415574824056.781
2023-06-25,True,False,False,1030668843343.7659,420635769891.3374
2023-06-26,True,False,False,1018728533482.6255,412733768939.3906
2023-06-27,True,False,False,1033635024756.7399,419130844900.3635
2023-06-28,True,False,False,1005308708540.422,403177692584.72217
2023-06-29,True,False,False,1020129608248.9359,410626421460.99146
2023-06-30,True,False,False,1039013043363.0308,429031617345.22144
2023-07-01,True,False,False,1043086753199.0117,430709126435.50037
2023-07-02,True,False,False,1046488208998.1477,433572087664.38257
2023-07-03,True,False,False,1060766515890.6498,436988818946.1659
2023-07-04,True,False,False,1047586645611.6907,431533042716.74023
2023-07-05,True,False,False,1035253044215.6838,424630829677.65796
2023-07-06,True,False,False,1010238175084.9409,411528701580.8318
2023-07-07,True,False,False,1026623517223.115,419071722654.81165
2023-07-08,True,False,False,1025939893078.3508,419495715780.3873
2023-07-09,True,False,False,1021232359852.313,417247841582.12244
2023-07-10,True,False,False,1030900280664.4773,421920174289.943
2023-07-11,True,False,False,1035948164965.5493,422852678897.6029
2023-07-12,True,False,False,1028920337762.773,420657289957.2532
2023-07-13,True,False,False,1104128074480.5464,474033776171.8285
2023-07-14,True,False,False,1062639100072.577,455459647474.7837
2023-07-15,True,False,False,1062248035035.6952,455721982540.9906
2023-07-16,True,False,False,1058657644154.5978,453138116083.4011
2023-07-17,True,False,False,1055431151819.9729,451923271308.8063
2023-07-18,True,False,False,1047562905836.4042,449738044788.0392
2023-07-19,True,False,False,1052644978413.0464,453722909654.80725
2023-07-20,True,False,False,1050723001138.2117,453982736216.84863
2023-07-21,True,False,False,1052038967054.4921,453259829568.8036
2023-07-22,True,False,False,1041725274537.4661,445345340555.3063
2023-07-23,True,False,False,1052385402301.0543,450118661691.588
2023-07-24,True,False,False,1021873173780.0471,437715865439.5189
2023-07-25,True,False,False,1024704992781.1963,439635046245.2081
2023-07-26,True,False,False,1031442628570.1927,443861775939.5228
2023-07-27,True,False,False,1027542583080.9231,442664412678.1332
2023-07-28,True,False,False,1031557134832.9677,444681730107.7158
2023-07-29,True,False,False,1034737289632.9333,447022313819.33777
2023-07-30,True,False,False,1028725915846.4976,442520726668.16394
2023-07-31,True,False,False,1024626630756.9287,439459795235.0659
2023-08-01,True,False,False,1038876407255.929,444335562350.6919
2023-08-02,True,False,False,1016932913003.4271,433122923651.5199
2023-08-03,True,False,False,1013528582122.804,429437134270.6079
2023-08-04,True,False,False,1009309910838.75,427205087564.69495
2023-08-05,True,False,False,1010586216105.3014,429045310751.0995
2023-08-06,True,False,False,1009123574353.359,427666345850.59436
2023-08-07,True,False,False,1011474858650.1321,427295129717.8313
2023-08-08,True,False,False,1031107941288.95,435150395241.0786
2023-08-09,True,False,False,1026906951043.1783,435033956375.0316
2023-08-10,True,False,False,1022149037293.1091,433045986628.1604
2023-08-11,True,False,False,1021068263330.7472,432456463846.2456
2023-08-12,True,False,False,1022037777948.0251,433155329891.41077
2023-08-13,True,False,False,1016265982795.6874,430096626527.41895
2023-08-14,True,False,False,1021226410919.7859,432501307373.2903
2023-08-15,True,False,False,1007826579174.9863,423865651196.324
2023-08-16,True,False,False,987877054740.8018,413293339087.19543
2023-08-17,False,False,False,915402312809.539,382319312710.96423
2023-08-18,False,False,False,902691138603.1764,381218401733.44275
2023-08-19,False,False,False,907616924327.7234,385221139702.0639
2023-08-20,False,False,False,913037980726.9089,388736245616.71906
2023-08-21,False,False,False,905520902121.2438,382516958943.7511
2023-08-22,False,False,False,898469406681.0352,377130392626.51697
2023-08-23,False,False,False,916697044500.2659,387623126468.0382
2023-08-24,False,False,False,906507938644.1532,382702459310.78827
2023-08-25,False,False,False,902484835832.7493,380980069546.1975
2023-08-26,False,False,False,900403638676.7511,379718425093.0318
2023-08-27,False,False,False,904538146521.031,382232044262.4621
2023-08-28,False,False,False,904135341838.258,381535369680.38336
2023-08-29,False,False,False,952812581597.3826,397814654144.1725
2023-08-30,False,False,False,937028118380.1271,390417894456.14966
2023-08-31,False,False,False,896363570048.7885,377140899710.52435
2023-09-01,False,False,False,889146859949.1523,372696736004.20264
2023-09-02,False,False,False,891927843856.466,374081037154.3931
2023-09-03,False,False,False,894248462759.2959,374343565842.8069
2023-09-04,False,False,False,890685976329.0438,373886531556.922
2023-09-05,False,False,False,890868105900.2646,374693835307.66064
2023-09-06,False,False,False,890225727313.9817,374718068958.9038
2023-09-07,False,False,False,903572967204.4232,377795076346.6304
2023-09-08,False,False,False,893659766091.352,375040850260.1086
2023-09-09,False,False,False,892880245604.8678,374435890095.2829
2023-09-10,False,False,False,885568936787.2352,368420571555.6516
2023-09-11,False,False,False,858168322555.6575,354564396961.0162
2023-09-12,False,False,False,879712319617.5939,362430431754.64984
2023-09-13,False,False,False,891284144499.2362,366252138685.5942
2023-09-14,False,False,False,903124123384.232,371963088478.5968
2023-09-15,False,False,False,909467913530.7776,376868957993.86597
2023-09-16,False,False,False,908585945343.1781,376714858303.45715
2023-09-17,False,False,False,903842608973.4229,372692383995.96375
2023-09-18,False,False,False,913148543718.7146,377300003661.75446
2023-09-19,False,False,False,926112675383.6434,381231839783.9868
2023-09-20,False,False,False,921033090750.1167,378006358016.51624
2023-09-21,False,False,False,900787031150.0529,368949174630.2807
2023-09-22,False,False,False,902958199754.8539,370806254766.4095
